timeframe,dead_zone,filter,commission,total_return,cagr,sharpe,max_dd,trades,final_nav,total_fees
1d,0.03,MACD-Only,0.001,-0.03512436607751146,-0.012199321401753616,0.692573421810638,-0.4019777401784307,1731,19297.51267844977,6020.757105231229
1h,0.1,MACD-Only,0.0001,-0.0470428803254197,-0.01640502548393019,0.3594267898917133,-0.4594354896440703,2760,19059.142393491606,5014.1287467308875
2h,0.08,MACD-Only,0.001,-0.05013807945810855,-0.0175028777396522,0.4285254760662276,-0.4830984822245159,2048,18997.23841083783,10107.544573635478
2h,0.1,MACD+MA,0.001,-0.05096041386053363,-0.01806416072436423,0.39162204817869023,-0.4278475773841971,1418,18980.791722789327,8840.171565728684
2h,0.1,MACD+ADX,0.001,-0.051889262896208654,-0.018261104639659465,0.4214231421677742,-0.5780332199514434,1256,18962.214742075827,7457.44952282361
2h,0.1,MACD-Only,0.001,-0.06329473808356212,-0.02219588205070322,0.4188605827564888,-0.49438055881476073,1917,18734.105238328757,10001.713278734689
2h,0.08,MACD+ADX,0.001,-0.0630766121707853,-0.022283402049831147,0.41885780801935607,-0.5744093535514649,1358,18738.467756584294,7440.052964240477
2h,0.08,MACD+MA,0.001,-0.08186527258947685,-0.02932888376588405,0.37922863572967613,-0.4910345271825375,1535,18362.694548210464,8892.03672597297
1h,0.08,MACD+ADX,0.001,-0.10638607124499,-0.03798171059951161,0.21232634540204678,-0.4037810053692281,2210,17872.2785751002,12045.134633163672
2h,0.05,MACD+MA,0.001,-0.10761282051083343,-0.03890394450168022,0.35201967200410905,-0.5001102688395423,1922,17847.74358978333,9474.663504219063
1h,0.1,MACD+ADX,0.001,-0.10940894120667877,-0.03910323834413454,0.20941849854642075,-0.409933720943672,2034,17811.821175866426,11785.319597340496
2h,0.05,MACD+ADX,0.001,-0.11483635947046855,-0.041313801954683815,0.3668394649455288,-0.5748084372076314,1751,17703.272810590628,7941.15209604915
2h,0.05,MACD-Only,0.001,-0.12772682005457536,-0.04582684820726313,0.3517143955216107,-0.49407152123180864,2711,17445.463598908493,10980.12603413897
