timeframe,dead_zone,filter,commission,total_return,cagr,sharpe,max_dd,trades,final_nav,total_fees
4h,0.08,MACD+ADX,0.0,0.39673243858416907,0.12362995340053495,0.8287666016318552,-0.5365644730155334,892,27934.64877168338,1397.3974664653495
1d,0.05,MACD+MA,0.0,0.3736983733905588,0.12335333024727468,1.311940570510316,-0.3967914265731467,1043,27473.967467811177,1222.8151292967193
1d,0.1,MACD+ADX,0.0,0.3865312630014497,0.12312431959716741,1.1928115235430707,-0.3660313021188807,427,27730.625260028995,601.0717252304989
1d,0.1,MACD+MA,0.0,0.3723790845976549,0.12295797079414394,1.2979238791519252,-0.39151678318509087,711,27447.5816919531,1050.4277141242558
1d,0.03,MACD+ADX+MA,0.001,0.37221826502121624,0.12290976052941116,1.2058474355723143,-0.3976543633786791,584,27444.365300424324,2438.304422880936
1h,0.1,MACD+ADX,0.0,0.4003159150864033,0.12289309796542613,0.4147790872889433,-0.37123076088855345,2033,28006.318301728068,3745.134423835857
1d,0.03,MACD+ADX,0.0,0.3856424807070091,0.12286847253780753,1.188738506663783,-0.3662998753381389,785,27712.849614140185,738.7980114668414
1d,0.08,MACD+MA,0.0,0.3699782371752196,0.12223787560118637,1.2955389397152786,-0.3906677700808532,782,27399.564743504394,1081.3047050499322
1d,0.1,MACD+ADX,0.0001,0.37522825480507893,0.11986269351894241,1.178873899807394,-0.366125979421292,427,27504.565096101578,793.3675588029548
1d,0.03,MACD+MA,0.0001,0.3614505416866092,0.11967364806065306,1.2823328202969182,-0.39688970821303515,1171,27229.010833732184,1677.2090045062291
1d,0.08,MACD+ADX,0.0,0.37444690562652116,0.11963658765951535,1.1791519012939013,-0.3660313021188808,454,27488.938112530424,607.7965739993958
1d,0.03,MACD+ADX,0.0001,0.371386984845,0.11875031297407679,1.1708672495636023,-0.36639436588020813,785,27427.7396969,979.4164663656159
1d,0.1,MACD+MA,0.0001,0.35477944066612843,0.11766058366226106,1.2813150905421735,-0.3934688243369264,711,27095.58881332257,1360.9664915541614
