date,nav_mxn,cash_mxn,fees_mxn,traded_mxn,units_SPY,units_EFA,units_IEF,units_GLD
2015-12-14,636008.5888711931,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-15,635168.6895507135,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-16,640445.4586261911,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-17,632151.3970937156,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-18,623615.3080998806,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-21,629889.6796695628,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-22,637331.858083169,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-23,646325.6232444842,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-24,645376.1598627635,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-28,643752.1643475047,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-29,652001.6476422378,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-30,651882.2464434926,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2015-12-31,641432.0140969366,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-04,633139.7005387014,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-05,635578.3765584767,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-06,634930.0034827696,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-07,630228.2871022706,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-08,626787.436725441,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-11,626178.4023610213,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-12,631620.2245047159,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-13,617375.8991119675,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-14,624189.7140243249,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-15,624390.0486449254,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-19,625410.3032737173,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-20,624871.2355687569,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-21,636330.4662530812,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2016-01-22,640002.2616776942,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
