,strategy,benchmark
2022-07-04,49266.145112467704,46583.61492528811
2022-07-05,48826.138408919534,46395.43361649398
2022-07-06,49738.50192113899,47036.33987052559
2022-07-07,49856.03780006726,47459.05356841205
2022-07-08,50016.04834351143,47546.5581006991
2022-07-11,49883.24385336688,47195.275779559546
2022-07-12,49713.381051298726,47082.93064719429
2022-07-13,49691.22019448502,47125.59711961207
2022-07-14,49425.84260485741,46818.31903181019
2022-07-15,49744.23662300911,47308.28719323807
2022-07-18,49915.75000382885,47224.679429983575
2022-07-19,50018.95220295822,47521.88381769285
2022-07-20,49670.42814526778,47596.94133528258
2022-07-21,49845.65649537152,47829.41460363224
2022-07-22,49983.53034659441,47799.91065172439
2022-07-25,49966.8149305287,47621.563655254155
2022-07-26,49781.868308568126,47126.90470938763
2022-07-27,49697.35902268435,47783.08540641192
2022-07-28,50401.68022342322,48657.74243586685
2022-07-29,49976.83539381964,48774.53683556177
2022-08-01,51666.52004421753,50558.448372626284
2022-08-02,51687.45774997267,50396.10475247376
2022-08-03,51700.38517608278,50888.13355811351
2022-08-04,51817.54935704064,50741.45481661165
2022-08-05,51521.21695395659,50393.69544273814
2022-08-08,51720.311422367064,50655.10268889885
2022-08-09,51511.07329633223,50333.10218674839
2022-08-10,51819.200797677295,50948.20356321122
2022-08-11,52015.2096221905,51039.61531666702
2022-08-12,52282.25002254093,51503.48094436441
2022-08-15,52194.42429025067,51345.84045794887
2022-08-16,52302.16887681214,51343.877968010784
2022-08-17,52468.86131514909,51267.54898612766
2022-08-18,52528.534612203715,51435.521228451944
2022-08-19,52550.6626452033,51213.21022303233
2022-08-22,52326.68382387724,50540.442744939406
2022-08-23,52225.59997791557,50666.56803573699
2022-08-24,52024.32536527299,50368.14863476018
2022-08-25,51975.640957751275,50725.77847175493
2022-08-26,51730.59351809163,49944.78873695375
2022-08-29,50903.053441108896,49075.92101764075
2022-08-30,50705.63766369351,48542.57620746872
2022-08-31,49986.26383235982,47878.49661692324
2022-09-01,52312.69863954469,50146.05531798557
2022-09-02,52720.076281275054,50373.76914548482
2022-09-05,52939.08788379527,50656.92880307381
2022-09-06,52847.10136529781,50333.49346576216
2022-09-07,52841.578652680844,50616.24888056392
2022-09-08,52778.1213965154,50723.04826153536
2022-09-09,53201.07610039233,51550.66932104597
2022-09-12,53697.96536831914,52548.942364085065
2022-09-13,53301.74118587737,51443.7345418072
2022-09-14,53411.62140899228,51523.425800788544
2022-09-15,53488.32844438491,51364.05062183481
2022-09-16,53491.905902008206,51380.91107637253
2022-09-19,53795.886424400094,51534.848500186105
2022-09-20,53845.256535007,51437.38563065678
2022-09-21,53912.63611046176,51224.470017226406
2022-09-22,53374.03565486772,50574.07817366595
2022-09-23,52381.30519755109,49480.077482806206
2022-09-26,51918.37993601553,49088.19095999811
2022-09-27,52485.455750930356,49475.20901284748
2022-09-28,52662.938473946124,49915.0444895291
2022-09-29,52309.61589188173,49366.51564181754
2022-09-30,51998.36924496346,48996.35905949119
2022-10-03,54450.796188030334,51882.972141670114
2022-10-04,54772.79695569456,52798.07731174201
2022-10-05,54630.61294164489,52622.1903999776
2022-10-06,55069.86865417828,53060.09595835213
2022-10-07,55237.36296186708,52488.837309370625
2022-10-10,54726.64312871718,51974.57679944618
2022-10-11,54857.97115327606,52022.72618065718
2022-10-12,55144.70704070398,52093.23671983614
2022-10-13,55514.72259563205,52404.66868811883
2022-10-14,55638.63135719619,52046.399762155896
2022-10-17,56519.36938864257,53035.92566484813
2022-10-18,56721.41874569886,53305.23329593077
2022-10-19,56369.94819490692,52913.37070306529
2022-10-20,56353.3145214819,53023.45835572332
2022-10-21,56937.91343294894,53811.03680568293
2022-10-24,57694.72009228571,54615.41034627587
2022-10-25,58501.670788116986,55491.31264110652
2022-10-26,59237.57244220661,55934.09678145214
2022-10-27,58762.650540530456,55525.147624091274
2022-10-28,59080.990499648,56080.54744009304
2022-10-31,59639.93995745228,56701.39385795334
2022-11-01,62627.98720168661,59370.42537989156
2022-11-02,62632.68207897394,59040.14633577197
2022-11-03,62139.84902526756,58351.7338668891
2022-11-04,62989.61664589472,59407.923976365826
2022-11-07,62926.16878627311,59199.81852200383
2022-11-08,63118.9654844098,59273.29695813179
2022-11-09,63355.2928250462,59054.83978762842
2022-11-10,64434.79044561486,60752.42187679214
2022-11-11,65561.32124633533,61955.854470731785
2022-11-14,65403.938139916325,61582.4326821576
2022-11-15,64988.94642070529,61671.56003681377
2022-11-16,65080.14436989205,61785.13160730741
2022-11-17,65104.432237452886,61595.90992686079
2022-11-18,65025.16476971023,61739.96477293872
2022-11-21,65039.88103906896,61655.19447066796
2022-11-22,64483.54328388438,61533.5345407588
2022-11-23,64949.0296572955,62185.92866814591
2022-11-24,65123.58287068248,62245.20916352752
2022-11-25,64618.23179810963,61490.07158467449
2022-11-28,64461.25377157263,60989.82384252367
2022-11-29,63707.82317077503,60341.301741792326
2022-11-30,65211.45494464779,62085.39514745458
2022-12-01,67319.52358207232,64436.814617786105
2022-12-02,67269.39363178497,64233.68827820492
2022-12-05,66903.78216129032,63790.176865928006
2022-12-06,67437.02657456274,64230.539508042886
2022-12-07,67631.63896149087,64278.01751096788
2022-12-08,67874.09614843002,64856.514016048015
2022-12-09,67191.72350681013,64012.889151033625
2022-12-12,67212.3512857286,64270.5659661698
2022-12-13,67283.76772135758,64712.745615162145
2022-12-14,66663.392301226,63690.96934115627
2022-12-15,66322.75053104234,62690.40770012862
2022-12-16,66642.95502134619,62591.72940201533
2022-12-19,66860.19020638103,62910.0708053159
2022-12-20,66792.68714517147,62939.36677664634
2022-12-21,67104.48108774234,63500.91028892653
2022-12-22,66867.72458443033,62703.79834542379
2022-12-23,67615.57015505468,63538.41638830608
2022-12-26,67506.63611679264,63283.53535826768
2022-12-27,67492.12320646337,63263.67553951746
2022-12-28,66801.71596266874,62301.475148723606
2022-12-29,66745.66938516378,62357.81157749856
2022-12-30,66242.77313213574,61342.9113721986
2023-01-02,68601.49897703523,63923.29888318888
2023-01-03,68543.29473618802,64107.132845075335
2023-01-04,69490.26119930678,65293.391548045
2023-01-05,69725.83302476464,65627.41028201397
2023-01-06,71090.12709497046,67001.61038242567
2023-01-09,71423.53029305594,67731.27851994224
2023-01-10,71568.64991941542,67973.78038292828
2023-01-11,72377.9527665342,68826.45468980666
2023-01-12,72494.3796870324,69036.206476535
2023-01-13,72551.06678690239,69189.60051353918
2023-01-16,72828.64270916877,69547.03579551645
2023-01-17,72265.02356965818,68730.22823732502
2023-01-18,72273.04431893738,68637.96025871935
2023-01-19,72533.02243317371,68791.97505195618
2023-01-20,73133.25153581897,69891.90310484805
2023-01-23,73487.00703091467,70574.44434526423
2023-01-24,73741.66573604729,70938.52635734835
2023-01-25,73739.65030790167,70719.50100690992
2023-01-26,74814.2394772966,71678.92525382168
2023-01-27,74465.71850867376,71273.17664047526
2023-01-30,74079.699576819,70275.49875797384
2023-01-31,74050.88287360274,70805.26949656948
2023-02-01,76882.18972381069,73855.5075118162
2023-02-02,76087.02941569478,73245.44221679353
2023-02-03,76165.13641231682,73430.48736046278
2023-02-06,76180.9087770895,73514.40606025276
2023-02-07,75487.23821862951,72981.6218236532
2023-02-08,75038.65765557598,72018.99892900516
2023-02-09,74918.34739199381,71741.04285601074
2023-02-10,74496.21867211799,70568.75448905118
2023-02-13,74881.58495729376,71496.9300254151
