date,nav,cash,equities,daily_ret
2023-06-14,268494.9781153049,200441.59680435594,68053.38131094894,0.00038312761827685726
2023-06-15,269395.4720542334,200477.9546828874,68917.51737134604,0.003353857659646131
2023-06-16,269127.964190792,200514.31915633404,68613.64503445796,-0.00099299316874768
2023-06-19,268656.2967522539,200550.69022589212,68105.60652636175,-0.0017525768455771695
2023-06-20,267254.0322650741,200587.0678927581,66666.96437231603,-0.0052195481890117135
2023-06-21,266768.1308648575,200623.45215812864,66144.67870672888,-0.0018181256091756026
2023-06-22,265826.4275590103,200659.84302320066,65166.584535809634,-0.003530044247767705
2023-06-23,266005.263088431,200696.24048917126,65309.02259925972,0.0006727530105372637
2023-06-26,265960.9572008055,200732.64455723777,65228.31264356769,-0.00016656019174610126
2023-06-27,267037.1853634914,200769.05522859775,66268.13013489368,0.004046564480790993
2023-06-28,267102.08259227057,200805.47250444893,66296.61008782161,0.00024302693533417852
2023-06-29,268467.94914453407,200841.89638598933,67626.05275854476,0.0051136499536339475
2023-06-30,267739.96410029865,200878.3268744171,66861.63722588152,-0.0027116273899924215
2023-07-03,270569.6786095864,202915.12674870848,67654.55186087791,0.010568891046193185
2023-07-04,270084.199493379,202951.93329808817,67132.26619529078,-0.001794285001564866
2023-07-05,272613.72430927167,202988.74652376695,69624.97778550473,0.009365689739116778
2023-07-06,271715.1819393115,203025.56642695586,68689.61551235562,-0.0032960276385087806
2023-07-07,273190.65067526745,203062.39300886609,70128.25766640135,0.005430203514669607
2023-07-10,272515.2840451574,203099.22627070907,69416.0577744483,-0.002472144008005772
2023-07-11,272699.3063167406,203136.0662136965,69563.24010304405,0.0006752732134933659
2023-07-12,272731.41825164127,203172.91283904025,69558.505412601,0.00011775583639872522
2023-07-13,272773.0062509965,203209.76614795244,69563.24010304405,0.00015248701312753354
2023-07-14,273465.10623078665,203246.6261416454,70218.48008914126,0.0025372744513925127
2023-07-17,273250.3210016463,203283.49282133163,69966.82818031467,-0.0007854209705244752
2023-07-18,273591.06670542667,203320.36618822394,70270.70051720274,0.001247009344879535
2023-07-19,274677.2719317606,203357.2462435353,71320.0256882253,0.003970177971868605
2023-07-20,273935.4768371448,203394.13298847893,70541.34384866591,-0.0027006060217463768
2023-07-21,272894.56993633497,203431.02642426823,69463.54351206674,-0.0037998251005242345
2023-07-24,273947.547080376,203467.92655211684,70479.62052825917,0.0038585492715619285
2023-07-25,275484.8289506529,203504.83337323865,71979.99557741426,0.0056115920243149375
2023-07-26,277131.32657344226,203541.74688884773,73589.57968459453,0.0059767270272594875
2023-07-27,277885.19094185164,203578.6671001584,74306.52384169324,0.002720242340447321
2023-07-28,278069.29539132287,203615.59400838517,74453.7013829377,0.0006625198300320712
2023-07-31,279041.6008455322,203652.5276147428,75389.07323078939,0.003496630049862226
2023-08-01,279303.13649589824,205689.83069822405,73613.30579767417,0.000937264012152772
2023-08-02,277469.73616150004,205727.14054807014,71742.5956134299,-0.006564195294760378
2023-08-03,276514.7114505282,205764.45716550844,70750.25428501974,-0.0034419058603781805
2023-08-04,278446.49507086666,205801.7805517665,72644.71451910018,0.0069861874986860695
2023-08-07,276750.78969182726,205839.11070807214,70911.6789837551,-0.006089878698626872
2023-08-08,275520.41205644334,205876.44763565334,69643.96442079001,-0.004445796294760274
2023-08-09,276844.47610418394,205913.79133573835,70930.68476844562,0.004805684043000635
2023-08-10,277204.6903375259,205951.14180955564,71253.54852797028,0.001301142931984689
2023-08-11,276477.6224789383,205988.49905833387,70489.12342060443,-0.0026228555429647082
2023-08-14,277236.67013879947,206025.86308330196,71210.80705549751,0.0027454216838795897
2023-08-15,277269.2918886895,206063.233885689,71206.05800300054,0.00011766751445141388
2023-08-16,276556.4867324987,206100.61146672437,70455.8752657743,-0.0025708045464947205
2023-08-17,275691.74740039033,206137.99582763764,69553.75157275272,-0.0031268090737093246
2023-08-18,275183.1124016906,206175.3869696586,69007.725432032,-0.0018449409657554927
2023-08-21,275348.71559406235,206212.78489401727,69135.9307000451,0.0006017927151358293
2023-08-22,275941.634973001,206250.1896019439,69691.44537105714,0.0021533399117532603
2023-08-23,276292.41690760804,206287.6010946689,70004.81581293917,0.001271217859680096
