Date,nav,benchmark,position,hurst_raw,hurst_smoothed,qqq_mxn,usd_mxn
2010-09-17,207979.69868124733,218734.03577349972,0,0.3293798565686608,0.3249745569551628,0.003230504246242605,12.779000282287598
2010-09-20,208033.59183332624,222527.82776005907,0,0.33575366924760824,0.327878021996123,0.01734431485773813,12.777000427246094
2010-09-21,208087.49895057513,221263.3818797846,0,0.3436822810811352,0.33203498761541583,-0.0056821921689625965,12.706999778747559
2010-09-22,208141.42003661272,219284.82588644774,0,0.3488521221664936,0.33688756014473903,-0.008942085113802678,12.626999855041504
2010-09-23,208195.3550950587,219472.5108339334,0,0.3567466644089188,0.34288291869456333,0.0008558957361821662,12.642999649047852
2010-09-24,208249.30412953373,222307.24952141178,0,0.3679703046863078,0.3506010083180927,0.012916144608302815,12.550999641418457
2010-09-27,208303.26714365935,221450.9640546408,0,0.3822461065956296,0.359899495787697,-0.0038518108096537995,12.571000099182129
2010-09-28,208357.2441410581,219864.49027222625,0,0.39526532695617494,0.37021610496270496,-0.007163995827189518,12.486000061035156
2010-09-29,208411.23512535339,220369.61323394976,0,0.40541531045467516,0.38152874262034125,0.002297428571107929,12.53499984741211
2010-09-30,208465.2401001696,220418.697168216,0,0.42391458426129264,0.39496232659081604,0.0002227345846186335,12.593999862670898
2010-10-01,208519.2590691321,219082.89980787708,0,0.423326650543163,0.4060335957621871,-0.006060272461003935,12.532999992370605
2010-10-04,208573.29203586708,218131.5516250661,0,0.42110238146283535,0.4138048507356283,-0.004342411861652629,12.614999771118164
2010-10-05,208627.33900400178,220872.5631499697,0,0.4189249496751468,0.4185367752794226,0.012565864518375491,12.470000267028809
2010-10-06,208681.39997716434,218924.98498002725,0,0.41919681738706305,0.4212930766659001,-0.008817655494041898,12.468000411987305
2010-10-07,211592.77188319643,221258.6567450294,2,0.4197624806303327,0.42046265593970816,0.010659686765377874,12.555000305175781
2010-10-08,213310.6372244765,220154.91795995188,2,0.4250787862980715,0.42081308309068993,-0.004988454695128319,12.406999588012695
2010-10-11,214518.37759182134,221042.26739666128,2,0.4328494424480779,0.4231624952877384,0.004030568314948191,12.45199966430664
2010-10-12,218180.506187527,221748.043127879,2,0.43672553367916567,0.4267226120885422,0.003192944677640419,12.406999588012695
2010-10-13,222941.86427532032,223021.8644897986,2,0.4363462208263323,0.43015249277639606,0.0057444536779294175,12.376999855041504
2010-10-14,222152.29103565696,223030.02267347468,2,0.4359728708112751,0.4333945708125845,3.6580196720814584e-05,12.402000427246094
2010-10-15,236875.64509793784,228295.6836512955,2,0.4367015949796423,0.4357191325488986,0.023609650910227264,12.430999755859375
2010-10-18,233632.40512331133,226940.9286381829,2,0.43700886572895536,0.4365510172050742,-0.005934212121074922,12.402999877929688
2010-10-19,226548.70017100222,227028.8269266498,2,0.4398263628562873,0.4371711830404985,0.0003873179201052679,12.524999618530273
2010-10-20,228710.6901005844,226162.15121956656,2,0.4412933012734314,0.4381605991299183,-0.003817469872948176,12.38700008392334
2010-10-21,230064.4192036854,226366.17569377285,2,0.44377850994542295,0.4397217269567479,0.0009021159071316287,12.37399959564209
2010-10-22,234000.6619467219,227376.7726870125,2,0.44795819260707365,0.4419730464822342,0.004464434627401204,12.345000267028809
2010-10-25,237686.14169243554,228607.05533939155,2,0.45586454687544553,0.44574418271153216,0.005410766622466534,12.35200023651123
2010-10-26,240117.4577138718,230188.79297281159,2,0.4714314567764543,0.45206520149556556,0.006919023697985915,12.404000282287598
2010-10-27,243527.936501959,231790.16911866504,2,0.47316391844109934,0.45843932492909917,0.006956794573585556,12.45199966430664
2010-10-28,243176.31097689265,230618.54931957088,2,0.4742750305692977,0.46453862905387416,-0.005054656992352191,12.36299991607666
2010-10-29,241598.18898901923,229698.56525785927,2,0.4771423695578251,0.47037546444402445,-0.003989202362195021,12.342000007629395
2010-11-01,241898.31853864226,229632.5153651167,2,0.4883605358968991,0.47687466224831515,-0.0002875503060648654,12.329000473022461
2010-11-02,248381.34156278617,231304.40481239007,2,0.48714121561766255,0.4800166140165567,0.0072807173871480835,12.286999702453613
2010-11-03,251129.81952831833,231580.83586901563,2,0.4852070017950211,0.48242523068734117,0.0011950963789459923,12.246000289916992
2010-11-04,259730.5924525944,234151.9163082136,2,0.4841722537473275,0.48440467532294706,0.011102302267585795,12.232000350952148
2010-11-05,259318.8847701528,233501.0613522945,2,0.47161783090642884,0.4832997675926678,-0.0027796268601210095,12.197999954223633
2010-11-08,260637.7285523295,234399.86877232103,2,0.4604536506845662,0.4777183905502012,0.003849264816276232,12.229000091552734
2010-11-09,257807.74614111645,234393.1965472373,2,0.4523223650968607,0.47075462044604083,-2.8465140013311796e-05,12.295000076293945
2010-11-10,260442.32540745867,234400.70196743388,2,0.44720309628034854,0.4631538393431064,3.202064013430039e-05,12.233599662780762
2010-11-11,256447.2840834265,233267.5144127184,2,0.4463252776188745,0.4555844441174157,-0.004834403417754873,12.251999855041504
2010-11-12,245086.3499065057,231057.60087437273,2,0.4501178579741373,0.4512844495309574,-0.009473730381658219,12.336999893188477
2010-11-15,241243.42045752547,229020.8676038697,2,0.45409151178922447,0.4500120217518891,-0.008814829128302115,12.274999618530273
2010-11-16,231868.6339899538,227806.3177417576,2,0.46077818204430815,0.4517031851413786,-0.005303227932106469,12.413999557495117
2010-11-17,233117.861476172,227548.4203450171,2,0.47716863923243974,0.4576962937317968,-0.001132090625479698,12.363900184631348
2010-11-18,242021.9186829842,229377.85809373282,2,0.5036495974139973,0.46916115769082134,0.0080397734510389,12.265999794006348
