,strategy,benchmark
2023-03-16,42133.96559104983,45684.081564201144
2023-03-17,41800.72253967515,45584.9906684258
2023-03-20,41801.13113535197,45593.37599594099
2023-03-21,42485.747641761394,45999.78870181458
2023-03-22,42429.30088023433,45848.69832295266
2023-03-23,42652.42068372797,46138.35743750455
2023-03-24,42540.80474508684,46124.99398657164
2023-03-27,42087.99210913828,46095.9204683
2023-03-28,42446.037814514784,46396.2399115847
2023-03-29,43545.70613503901,46896.45655066219
2023-03-30,43705.877355561286,47158.091925378045
2023-03-31,43409.14818756393,47173.76559984552
2023-04-03,45400.61997939936,49100.61677341694
2023-04-04,46045.432052097785,49452.717255560194
2023-04-05,45196.53882147402,48645.51091597628
2023-04-06,45196.72755504989,48872.637709966206
2023-04-10,45250.76892078562,49010.44894998851
2023-04-11,45631.28723957681,49341.16912930365
2023-04-12,45449.96707824929,49163.11220785716
2023-04-13,46085.050171053066,49649.82143189726
2023-04-14,46166.9282278586,49448.69097697486
2023-04-17,46099.89591835446,49689.26516002823
2023-04-18,45568.48892763519,49253.85450213745
2023-04-19,45581.693261179884,49285.1728494027
2023-04-20,45837.89474942125,49254.01671152806
2023-04-21,45404.65730169162,48860.38715620095
2023-04-24,46079.01828830782,49296.10362486842
2023-04-25,45880.874659862304,48981.57833779751
2023-04-26,45510.99538043656,49020.195775109765
2023-04-27,45922.56694572547,49635.07999316117
2023-04-28,46464.54859578486,49950.172196513915
2023-05-01,48460.035705770744,51974.77081890412
2023-05-02,49164.354253027566,51842.19639938437
2023-05-03,49225.97853097139,51764.27548166723
2023-05-04,49349.2847432253,51509.556275994975
2023-05-05,49792.606730555424,52159.7348017456
2023-05-08,50009.90221333809,52167.61940880251
2023-05-09,50174.125167846345,52356.80099774872
2023-05-10,49875.63300309133,52508.58214996423
2023-05-11,49364.52527172194,52017.52138996203
2023-05-12,48906.68304873842,51846.52725121642
2023-05-15,49045.70404120381,52266.54447671631
2023-05-16,48672.0376187382,52179.95862846452
2023-05-17,48736.284552458084,52359.73206440022
2023-05-18,49062.25631584838,52868.01904408529
2023-05-19,48088.203851933926,52172.47220732539
2023-05-22,47130.03320856791,51420.98637793876
2023-05-23,46764.62182636173,51000.38565173746
2023-05-24,46656.40232667525,51197.73729662469
2023-05-25,46896.50742561676,52002.152092157354
2023-05-26,47791.378412926584,52644.94750426814
2023-05-29,47705.92559918548,52841.10390337204
2023-05-30,46656.21780959938,52292.428923245396
2023-05-31,46547.804105081785,51804.35195541517
2023-06-01,48375.813828462466,53860.65777222876
2023-06-02,49020.53378369499,54073.38574964542
2023-06-05,49094.17687374607,54221.46081944263
2023-06-06,50259.03864873607,54875.451551730046
2023-06-07,50514.719425024196,54568.5839341056
2023-06-08,50679.373950073554,54949.7190288915
2023-06-09,51124.89458437711,55305.186682687454
2023-06-12,50961.193816952335,55330.81040275379
2023-06-13,51266.697108327244,55627.932081241524
2023-06-14,51703.98678935676,56040.938056835446
2023-06-15,51754.39926793796,56109.577169679374
2023-06-16,51742.69516452744,55868.20676274759
2023-06-19,51791.02856912227,55795.17179427561
2023-06-20,51086.402446421656,55310.451942187494
2023-06-21,50805.950074754335,55013.878385498756
2023-06-22,50422.90456198729,54607.70448175299
2023-06-23,50054.92172931964,54291.540736525356
2023-06-26,49985.38211512197,54048.67808663967
2023-06-27,50769.36830247756,54617.2625457925
2023-06-28,50538.32800888259,54268.63532141977
2023-06-29,50572.63208676101,54264.65272657291
2023-06-30,50917.067470713926,54457.92375086967
2023-07-03,53835.072307194576,57181.6236923058
2023-07-04,53456.13866213863,56945.14531414036
2023-07-05,53835.62485136993,57048.34890122147
2023-07-06,53155.49937649172,56354.34433274051
2023-07-07,53291.09645484808,56866.57828688936
2023-07-10,53432.182067286165,56612.784065776665
2023-07-11,53945.117622800484,56961.260283683914
2023-07-12,54043.455119641374,57224.612857935055
2023-07-13,54617.639170366514,57958.452471249046
2023-07-14,54182.06369474868,57553.99967455552
2023-07-17,54278.197041117346,57440.55091025734
2023-07-18,55075.63617554944,57989.75461579567
2023-07-19,54579.32075525283,57565.28588778111
2023-07-20,54791.51128936148,57076.281550697044
2023-07-21,54778.50457401377,57172.3121908812
2023-07-24,53873.79657704472,57037.925250025924
2023-07-25,54318.24923302723,57301.006050535674
2023-07-26,55069.51631669817,58009.15030616529
2023-07-27,55512.97413943312,58135.86109873204
2023-07-28,55891.79090508256,58595.00619643641
2023-07-31,55928.22708421472,58595.39373160139
2023-08-01,57706.548379866064,59923.87878351701
2023-08-02,56968.93892154221,58936.71904672759
2023-08-03,57029.801175588764,59258.37340705067
2023-08-04,57531.631832138,60160.03501536684
2023-08-07,58455.53895379616,60262.19098639415
