Datetime,nav,benchmark,position
2026-05-12 12:30:00-04:00,200906.99253295222,214454.37474662316,0
2026-05-12 13:00:00-04:00,200910.9971808803,215321.5650412838,0
2026-05-12 13:30:00-04:00,200915.00190863243,215527.76937979436,0
2026-05-12 14:00:00-04:00,200919.00671621016,215987.06729063808,0
2026-05-12 14:30:00-04:00,200923.0116036151,215595.24754131053,0
2026-05-12 15:00:00-04:00,200927.01657084885,216161.11389093887,0
2026-05-12 15:30:00-04:00,200931.02161791298,217140.93837018017,0
2026-05-13 09:30:00-04:00,200935.0267448091,217069.94616596051,0
2026-05-13 10:00:00-04:00,200939.03195153878,217399.93148568226,0
2026-05-13 10:30:00-04:00,200943.03723810363,217930.42759609714,0
2026-05-13 11:00:00-04:00,200947.04260450523,217841.38147467596,0
2026-05-13 11:30:00-04:00,200951.0480507452,217706.41011052454,0
2026-05-13 12:00:00-04:00,200955.05357682507,218358.8074221938,0
2026-05-13 12:30:00-04:00,200959.05918274648,218580.69768114004,0
2026-05-13 13:00:00-04:00,200963.06486851102,218890.9756174771,0
2026-05-13 13:30:00-04:00,200967.07063412026,218665.9942208514,0
2026-05-13 14:00:00-04:00,200971.07647957583,219367.07214200543,0
2026-05-13 14:30:00-04:00,200975.08240487927,218810.89326207223,0
2026-05-13 15:00:00-04:00,200979.08841003221,219203.72245200624,0
2026-05-13 15:30:00-04:00,200983.09449503623,218819.09529313838,0
2026-05-14 09:30:00-04:00,200987.10065989292,220042.79815843375,0
2026-05-14 10:00:00-04:00,200991.1069046039,220394.48507439956,0
2026-05-14 10:30:00-04:00,200995.1132291707,220740.64847767682,0
2026-05-14 11:00:00-04:00,200999.11963359496,221321.59777712732,0
2026-05-14 11:30:00-04:00,201003.12611787827,221252.21628834846,0
2026-05-14 12:00:00-04:00,201007.1326820222,221310.84835186048,0
2026-05-14 12:30:00-04:00,201011.13932602835,221291.4859984321,0
2026-05-14 13:00:00-04:00,201015.14604989832,220701.6112920226,0
2026-05-14 13:30:00-04:00,201019.15285363368,221242.4721051125,0
2026-05-14 14:00:00-04:00,201023.15973723604,220819.8951067533,0
2026-05-14 14:30:00-04:00,201027.166700707,221070.44557426524,0
2026-05-14 15:00:00-04:00,201031.17374404814,220968.90009564764,0
2026-05-14 15:30:00-04:00,201035.18086726105,220988.2134145764,0
2026-05-15 09:30:00-04:00,201039.18807034733,218726.36779150474,0
2026-05-15 10:00:00-04:00,201043.19535330855,219520.52784826225,0
2026-05-15 10:30:00-04:00,201047.20271614633,219640.29179270554,0
2026-05-15 11:00:00-04:00,201051.21015886226,220091.6379943316,0
2026-05-15 11:30:00-04:00,201055.21768145793,219719.37073821816,0
2026-05-15 12:00:00-04:00,201059.2252839349,220041.35308397957,0
2026-05-15 12:30:00-04:00,201063.2329662948,219925.73028554965,0
2026-05-15 13:00:00-04:00,201067.2407285392,220471.02995408335,0
2026-05-15 13:30:00-04:00,201071.24857066973,220751.41709900225,0
2026-05-15 14:00:00-04:00,201075.25649268794,220350.32351479025,0
2026-05-15 14:30:00-04:00,201079.26449459544,220344.05102763005,0
2026-05-15 15:00:00-04:00,201083.27257639382,219611.02812110647,0
2026-05-15 15:30:00-04:00,201087.28073808466,219128.8890674484,0
2026-05-18 09:30:00-04:00,201091.2889796696,218566.44449556494,0
2026-05-18 10:00:00-04:00,201095.29730115016,218146.71081633936,0
2026-05-18 10:30:00-04:00,201099.30570252798,217498.80883973994,0
2026-05-18 11:00:00-04:00,201103.31418380464,216806.7559277253,0
2026-05-18 11:30:00-04:00,201107.32274498176,216774.33979771685,0
2026-05-18 12:00:00-04:00,201111.3313860609,215908.92800175777,0
2026-05-18 12:30:00-04:00,201115.34010704365,216553.21888952877,0
2026-05-18 13:00:00-04:00,201119.34890793162,216746.57472666702,0
2026-05-18 13:30:00-04:00,201123.3577887264,216784.03905942338,0
2026-05-18 14:00:00-04:00,201127.36674942958,216101.9021116283,0
2026-05-18 14:30:00-04:00,201131.37579004274,215907.70783939527,0
2026-05-18 15:00:00-04:00,201135.3849105675,216083.06296434035,0
2026-05-18 15:30:00-04:00,201139.39411100541,217389.41247554158,0
2026-05-19 09:30:00-04:00,201143.40339135812,217107.6294814117,0
2026-05-19 10:00:00-04:00,201147.41275162718,215640.61294141892,0
2026-05-19 10:30:00-04:00,201151.4221918142,216740.2402493854,0
2026-05-19 11:00:00-04:00,201155.43171192077,216553.1404457812,0
2026-05-19 11:30:00-04:00,201159.4413119485,216583.4325344714,0
2026-05-19 12:00:00-04:00,201163.45099189895,217355.91142085512,0
2026-05-19 12:30:00-04:00,201167.46075177373,218195.0317283105,0
2026-05-19 13:00:00-04:00,201171.47059157444,218628.95127585996,0
2026-05-19 13:30:00-04:00,201175.48051130265,218526.0943789861,0
2026-05-19 14:00:00-04:00,201179.49051095996,218258.26196154067,0
2026-05-19 14:30:00-04:00,201183.50059054798,217752.60935192858,0
2026-05-19 15:00:00-04:00,201187.5107500683,217939.79730415088,0
2026-05-19 15:30:00-04:00,201191.5209895225,217510.5488801881,0
2026-05-20 09:30:00-04:00,201195.5313089122,218694.46392573274,0
2026-05-20 10:00:00-04:00,201199.54170823898,218918.70871852504,0
2026-05-20 10:30:00-04:00,201203.5521875044,218851.04821161734,0
2026-05-20 11:00:00-04:00,201207.5627467101,218965.7392999328,0
2026-05-20 11:30:00-04:00,201211.57338585763,219420.96085103712,0
2026-05-20 12:00:00-04:00,201215.58410494862,218599.16636509157,0
2026-05-20 12:30:00-04:00,201219.59490398466,218898.77341442407,0
2026-05-20 13:00:00-04:00,201223.60578296732,219073.3786106171,0
2026-05-20 13:30:00-04:00,201227.61674189824,219268.96836685072,0
2026-05-20 14:00:00-04:00,201231.62778077894,219091.5868011284,0
2026-05-20 14:30:00-04:00,201235.63889961108,219096.42196091116,0
2026-05-20 15:00:00-04:00,201239.65009839623,219276.66333491664,0
2026-05-20 15:30:00-04:00,201243.66137713598,219725.96400383438,0
2026-05-21 09:30:00-04:00,201247.67273583193,219782.3275433662,0
2026-05-21 10:00:00-04:00,201251.68417448568,219153.04604103861,0
2026-05-21 10:30:00-04:00,201255.6956930988,219435.93080674155,0
2026-05-21 11:00:00-04:00,201259.7072916729,219442.52947717914,0
2026-05-21 11:30:00-04:00,201263.7189702096,219705.78746088277,0
2026-05-21 12:00:00-04:00,201267.73072871045,219524.24529071475,0
2026-05-21 12:30:00-04:00,201271.74256717705,219598.19378446467,0
2026-05-21 13:00:00-04:00,201275.754485611,219879.53736305956,0
2026-05-21 13:30:00-04:00,201279.7664840139,220372.6637621249,0
2026-05-21 14:00:00-04:00,201283.77856238734,220120.06814261773,0
2026-05-21 14:30:00-04:00,201287.7907207329,219535.54009455696,0
2026-05-21 15:00:00-04:00,201291.80295905223,220123.00032842127,0
2026-05-21 15:30:00-04:00,201295.81527734688,220276.6229253207,0
2026-05-22 09:30:00-04:00,201299.82767561844,222074.8014560947,0
2026-05-22 10:00:00-04:00,201303.8401538685,221677.49143369292,0
2026-05-22 10:30:00-04:00,201307.85271209868,222515.20842107676,0
2026-05-22 11:00:00-04:00,201311.86535031055,222690.76038498778,0
2026-05-22 11:30:00-04:00,201315.87806850573,222503.22024643165,0
2026-05-22 12:00:00-04:00,201319.89086668578,222245.78994681488,0
2026-05-22 12:30:00-04:00,201323.90374485232,222210.76036091684,0
2026-05-22 13:00:00-04:00,201327.91670300695,222594.2342587543,0
2026-05-22 13:30:00-04:00,201331.92974115125,222197.42268991625,0
2026-05-22 14:00:00-04:00,201335.94285928682,222240.718048952,0
2026-05-22 14:30:00-04:00,201339.95605741526,222121.16788844558,0
2026-05-22 15:00:00-04:00,201343.96933553813,221450.7447346513,0
2026-05-22 15:30:00-04:00,201347.98269365705,221458.12624744576,0
2026-05-26 09:30:00-04:00,201351.99613177363,224764.65946812503,0
2026-05-26 10:00:00-04:00,201356.00964988946,225310.35480405812,0
2026-05-26 10:30:00-04:00,201360.0232480061,225405.51049787083,0
2026-05-26 11:00:00-04:00,201364.03692612518,225069.63407110583,0
2026-05-26 11:30:00-04:00,201368.05068424827,224535.68977598887,0
2026-05-26 12:00:00-04:00,201372.06452237698,224686.58005608054,0
2026-05-26 12:30:00-04:00,201376.0784405129,224469.22147461755,0
2026-05-26 13:00:00-04:00,201380.09243865765,224526.05358713475,0
2026-05-26 13:30:00-04:00,201384.10651681278,224764.81236471067,0
2026-05-26 14:00:00-04:00,201388.12067497993,225005.22909099192,0
2026-05-26 14:30:00-04:00,201392.13491316067,224764.8168243378,0
2026-05-26 15:00:00-04:00,201396.1492313566,225053.8539335709,0
2026-05-26 15:30:00-04:00,201400.1636295693,225106.3982846771,0
