Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ
2004-07-15,208195.3550950587,197293.6644158621,208195.35509505865,0.0
2004-07-16,208249.30412953373,193716.45550846978,208249.30412953367,0.0
2004-07-19,208303.26714365935,192765.04399735495,208303.26714365932,0.0
2004-07-20,208357.2441410581,198136.83000028855,208357.24414105806,0.0
2004-07-21,208411.23512535339,193254.43898936035,208411.23512535336,0.0
2004-07-22,208465.2401001696,195193.24042033445,208465.24010016955,0.0
2004-07-23,208519.2590691321,191784.17840111817,208519.259069132,0.0
2004-07-26,208573.29203586708,191611.70441627823,208573.292035867,0.0
2004-07-27,208627.33900400178,194154.2040796801,208627.3390040017,0.0
2004-07-28,208681.39997716434,192349.1290141724,208681.39997716426,0.0
2004-07-29,208735.47495898383,194433.48565788934,208735.47495898372,0.0
2004-07-30,208789.56395309028,196332.40213164024,208789.56395309017,0.0
2004-08-02,208843.66696311464,195251.11107532156,208843.66696311455,0.0
2004-08-03,208897.7839926888,191325.1334012457,208897.7839926887,0.0
2004-08-04,208951.91504544564,191952.36493894176,208951.91504544552,0.0
2004-08-05,209006.06012501894,188183.03875377966,209006.06012501882,0.0
2004-08-06,209060.2192350434,182644.26597540075,209060.2192350433,0.0
2004-08-09,209114.39237915468,183155.3479188805,209114.39237915463,0.0
2004-08-10,209168.57956098946,186015.12261875157,209168.57956098934,0.0
2004-08-11,209222.78078418522,184277.64825302115,209222.7807841851,0.0
2004-08-12,209276.99605238048,181663.10426867843,209276.99605238042,0.0
2004-08-13,209331.2253692147,181240.73693195728,209331.2253692146,0.0
2004-08-16,209385.46873832823,183157.5818155836,209385.46873832814,0.0
2004-08-17,209439.72616336241,184565.25522070448,209439.7261633623,0.0
2004-08-18,209493.9976479595,188271.1012669166,209493.99764795942,0.0
2004-08-19,209548.28319576272,187121.21661070525,209548.28319576263,0.0
2004-08-20,209602.58281041624,188593.52761888385,209602.58281041618,0.0
2004-08-23,209656.89649556513,190442.3337927515,209656.89649556504,0.0
2004-08-24,209711.22425485545,189901.51703532177,209711.2242548554,0.0
2004-08-25,209765.5660919342,192452.60057329896,209765.5660919341,0.0
2004-08-26,209819.92201044929,191313.27383458053,209819.9220104492,0.0
2004-08-27,209874.29201404963,192966.19367444713,209874.29201404954,0.0
2004-08-30,209928.676106385,189911.27103492693,209928.6761063849,0.0
2004-08-31,209983.07429110623,189717.41068857955,209983.07429110614,0.0
2004-09-01,210037.486571865,191902.02651998407,210037.48657186492,0.0
2004-09-02,210091.91295231399,196208.3562742531,210091.9129523139,0.0
2004-09-03,210146.3534361068,192614.58395528878,210146.35343610673,0.0
2004-09-07,210200.80802689798,195602.3401219603,210200.80802689787,0.0
2004-09-08,210255.27672834304,194543.9610875918,210255.27672834296,0.0
2004-09-09,210309.75954409846,196171.91296345464,210309.75954409837,0.0
2004-09-10,210364.2564778216,199315.56016875466,210364.2564778215,0.0
2004-09-13,210418.76753317082,201472.22459548106,210418.7675331707,0.0
2004-09-14,210473.2927138054,201703.014073273,210473.29271380533,0.0
2004-09-15,210527.8320233856,198929.06495731973,210527.83202338553,0.0
2004-09-16,210582.38546557262,198908.20572650502,210582.38546557253,0.0
2004-09-17,210636.95304402857,198797.46178906277,210636.9530440285,0.0
2004-09-20,210691.5347624166,198745.3022847842,210691.5347624165,0.0
2004-09-21,210746.13062440066,198745.1812471877,210746.13062440054,0.0
2004-09-22,210800.7406336458,195418.19450411538,210800.7406336457,0.0
2004-09-23,210855.36479381792,194822.02061657014,210855.36479381783,0.0
2004-09-24,210910.00310858394,194716.1429004505,210910.00310858386,0.0
2004-09-27,210964.65558161167,193105.18791194807,210964.6555816116,0.0
2004-09-28,211019.32221656994,193462.9715722643,211019.32221656985,0.0
2004-09-29,211074.00301712845,196179.45410352128,211074.00301712836,0.0
2004-09-30,211128.69798695788,195756.27561994962,211128.69798695782,0.0
2004-10-01,211183.4071297299,200431.07713771123,211183.40712972984,0.0
2004-10-04,212297.4276707639,200991.336662436,211238.13044911702,0.38206442439225
2004-10-05,212446.68465317565,200804.11026533775,211292.8679487929,0.382338551203822
2004-10-06,214480.9912222113,202621.64802581008,211347.61963243203,0.38803840395060585
2004-10-07,211531.9197586936,199963.6582302501,211402.3855037098,0.37934595711534014
2004-10-08,207089.38934642644,196164.81242069387,211457.16556630263,0.36586726190115704
2004-10-11,207105.168181408,196628.46969456688,211511.95982388788,0.0
2004-10-12,207158.83471903595,196701.19552500657,211566.76828014382,0.0
2004-10-13,207212.51516311197,196592.33498231645,211621.59093874978,0.0
2004-10-14,207266.20951723956,198126.8742624247,211676.4278033859,0.0
2004-10-15,207319.9177850232,199517.62121469495,211731.27887773333,0.0
2004-10-18,207373.6399700683,202816.57926971896,211786.1441654743,0.0
2004-10-19,205397.19892775075,200882.135317443,211841.02367029176,0.3850689488280199
2004-10-20,206867.27663356782,202700.69185360146,211895.91739586982,0.38928067036985153
2004-10-21,210304.36335593328,205182.70521709998,211950.82534589345,0.3991062285340347
2004-10-22,205211.74328452925,201751.75644014266,212005.74752404858,0.38403462658935156
2004-10-25,205225.514977072,201405.81384970003,212060.68393402203,0.0
2004-10-26,205278.6944458339,201741.46964106537,212115.6345795018,0.0
2004-10-27,211094.43586354415,207389.37796447283,212170.59946417654,0.37853854863712033
2004-10-28,212598.04344352175,208688.07113301044,212225.57859173615,0.3827739594083711
2004-10-29,212435.63034309642,208946.7021667244,212280.57196587123,0.3821420102891269
2004-11-01,213105.62304430112,209085.20245531155,212335.5795902735,0.38392492250144306
2004-11-02,213321.02194289197,208285.5910689213,212390.60146863555,0.3843875180451894
2004-11-03,214904.44833562442,209503.30937891867,212445.63760465107,0.3887650342123264
2004-11-04,216156.233901591,210291.71608981435,212500.68800201447,0.3921472958377392
2004-11-05,217828.60935597736,210664.90260508578,212555.75266442136,0.3966577729162607
2004-11-08,218844.81369385787,212695.57553490732,212610.83159556816,0.39930377198447475
2004-11-09,218421.88012065087,212564.1590187613,212665.92479915224,0.39798467683695715
