,strategy,benchmark
2023-01-09,37920.46851592064,40093.40678268247
2023-01-10,37932.05532574495,40234.58213671856
2023-01-11,37943.645675983375,40818.80299019785
2023-01-12,37955.239567717705,40958.07219868229
2023-01-13,37966.837002030064,41057.0287553439
2023-01-16,38001.639935948595,41261.19083513493
2023-01-17,38013.251548151246,40767.241402936044
2023-01-18,38024.86670834651,40706.497390436416
2023-01-19,38036.4854176185,40778.7315725097
2023-01-20,38048.10767705167,41468.21315703146
2023-01-23,38082.985109088964,41863.0972357882
2023-01-24,38094.62157676119,42053.525262929
2023-01-25,38106.26160002075,41932.28854782143
2023-01-26,38117.90517995409,42474.23294957836
2023-01-27,38129.55231764796,42264.60879954842
2023-01-30,38164.50440727247,41651.111599467105
2023-01-31,38176.16578361914,41985.820414383816
2023-02-01,40187.83072316413,44666.662532217335
2023-02-02,40200.11033810732,44395.626470515825
2023-02-03,40212.393705155075,44423.624183038555
2023-02-06,40249.25506605147,44482.83433642776
2023-02-07,40261.55344954387,44207.18558762896
2023-02-08,40273.855590875675,43611.60308056513
2023-02-09,40286.16149119511,43424.94214702042
2023-02-10,40298.47115165075,42731.47667776701
2023-02-13,40335.411416873096,43273.52084778025
2023-02-14,40347.73612591714,43097.08621371174
2023-02-15,40360.064600844504,43505.72835552057
2023-02-16,40372.39684280587,43568.192413378485
2023-02-17,40384.732852952286,43379.96708124273
2023-02-20,40421.752191400825,43368.426202981165
2023-02-21,40434.103282348195,42653.16383662691
2023-02-22,40446.458147240024,42629.474134984644
2023-02-23,40458.81678722946,42865.206807504175
2023-02-24,40471.17920347,42583.22631857839
2023-02-27,40508.27778440651,42874.78524444912
2023-02-28,40520.65531372953,42840.485905197296
2023-03-01,42533.03662507539,45054.299682736135
2023-03-02,42546.03283071083,45104.83756555294
2023-03-03,42559.0330074091,46070.37466812141
2023-03-06,42598.04545433256,45689.60574555492
2023-03-07,42611.06152377694,45141.577140249865
2023-03-08,42624.08157035365,45269.20204848606
2023-03-09,42637.10559527793,45029.613273427865
2023-03-10,42650.13359976537,44615.86406940372
2023-03-13,42689.22955556516,44819.83051779215
2023-03-14,42702.273486818245,45356.267722208715
2023-03-15,42715.321403717,44913.72530312434
2023-03-16,42728.37330747924,45684.08348761123
2023-03-17,42741.42919932319,45584.9912146553
2023-03-20,42780.6088427559,45593.376617613874
2023-03-21,42793.68069545786,45999.79054943622
2023-03-22,42806.756542337025,45848.699481639596
