Date,nav,benchmark,position,entropy_raw,entropy_smoothed,qqq_mxn,usd_mxn
2023-04-13,1676653.524150157,2309933.032628279,0,0.9409820847710285,0.9424291709433794,0.01375420376900749,18.055099487304688
2023-04-14,1677087.990321296,2300980.925199243,0,0.939944504137065,0.9414438197800676,-0.0038754835324601444,18.018999099731445
2023-04-17,1677522.5690743437,2299592.766775228,0,0.936787750663788,0.9398271179221005,-0.0006032898442626111,17.99287986755371
2023-04-18,1677957.260438473,2304762.596997979,0,0.9395383946179238,0.939501956719852,0.002248150323590048,18.03219985961914
2023-04-19,1678392.0644428644,2305120.49086764,0,0.9260424375559552,0.9366590343491522,0.00015528448358503866,18.043489456176758
2023-04-20,1678826.981116706,2287166.560350131,0,0.9236043388742098,0.9331834851697882,-0.007788716723762801,18.04050064086914
2023-04-21,1679262.010489194,2284147.33458881,0,0.9243293742357831,0.9300604591895318,-0.0013200725358886167,17.997909545898438
2023-04-24,1679697.1525895311,2279288.6288589076,0,0.9260424375559552,0.9279113965679654,-0.002127142000135862,17.997140884399414
2023-04-25,1680132.4074469283,2232323.8069707863,0,0.9232917936018195,0.9246620763647446,-0.020605034962875135,17.965200424194336
2023-04-26,1680567.775090604,2255262.602184914,0,0.927254459175558,0.9249044806886652,0.010275747247105338,18.0403995513916
2023-04-27,1681003.2555497843,2331757.3617747575,0,0.9240977057022812,0.9250031540542795,0.033918338164138806,18.158550262451172
2023-04-28,1681438.8488537027,2330511.3952843905,0,0.9303446425326962,0.9262062077136621,-0.0005343465451390639,18.024499893188477
2023-05-01,1681874.5550316002,2323563.0189647796,0,0.9263819769589576,0.9262741155942624,-0.0029814813751481983,17.99139976501465
2023-05-02,1682310.3741127255,2296422.186307114,0,0.9504589769411107,0.9317075522621208,-0.011680695740181712,17.93769073486328
2023-05-03,1682746.306126335,2286047.0016108328,0,0.9504589769411107,0.9363484558152313,-0.004517977904126447,17.97426986694336
