Date,NAV,Capital
2021-07-30,133477.35638504324,108000.0
2021-08-02,133881.89858846614,109000.0
2021-08-03,134863.6118226728,109000.0
2021-08-04,135195.43707669593,109000.0
2021-08-05,136937.02243640664,109000.0
2021-08-06,137440.15681513122,109000.0
2021-08-09,137444.44915195525,109000.0
2021-08-10,137869.90246076477,109000.0
2021-08-11,138145.62698284967,109000.0
2021-08-12,138606.06534928817,109000.0
2021-08-13,138904.8531692586,109000.0
2021-08-16,139180.8083469891,109000.0
2021-08-17,137193.2585060187,109000.0
2021-08-18,135219.64576897467,109000.0
2021-08-19,136673.67130714506,109000.0
2021-08-20,138566.27148115655,109000.0
2021-08-23,140504.90562927187,109000.0
2021-08-24,140332.09367998794,109000.0
2021-08-25,141642.0965656556,109000.0
2021-08-26,141392.7607049257,109000.0
2021-08-27,143437.42787500223,109000.0
2021-08-30,144106.09993750884,109000.0
2021-08-31,143482.99672925574,109000.0
2021-09-01,144493.29549523882,110000.0
2021-09-02,144458.2140861695,110000.0
2021-09-03,145290.3211692122,110000.0
2021-09-07,145096.49068774015,110000.0
2021-09-08,144688.95121519483,110000.0
2021-09-09,144638.57194376734,110000.0
2021-09-10,144874.11499837993,110000.0
2021-09-13,144483.59817562794,110000.0
2021-09-14,144123.47303653607,110000.0
2021-09-15,144949.66404551163,110000.0
2021-09-16,144838.28874392342,110000.0
2021-09-17,143503.98708360372,110000.0
2021-09-20,139855.8184395471,110000.0
2021-09-21,140172.74899169223,110000.0
2021-09-22,141230.73700678282,110000.0
2021-09-23,143253.53905512765,110000.0
2021-09-24,144839.1192240506,110000.0
2021-09-27,144603.03549553026,110000.0
2021-09-28,140711.04628182412,110000.0
2021-09-29,140688.63169776017,110000.0
2021-09-30,139978.13830039703,110000.0
2021-10-01,141949.96908727038,111000.0
2021-10-04,138462.48667743435,111000.0
2021-10-05,141250.89984669106,111000.0
2021-10-06,142085.7830443576,111000.0
2021-10-07,143034.15894945554,111000.0
2021-10-08,142701.076791247,111000.0
2021-10-11,141361.25118333328,111000.0
2021-10-12,140316.90788061792,111000.0
2021-10-13,139639.10401637692,111000.0
2021-10-14,142442.28016759537,111000.0
2021-10-15,143452.47145673778,111000.0
2021-10-18,145235.15774388472,111000.0
2021-10-19,146835.19089243351,111000.0
2021-10-20,147288.39610653307,111000.0
2021-10-21,148609.17845610194,111000.0
2021-10-22,148518.18643809546,111000.0
2021-10-25,150127.89165479498,111000.0
2021-10-26,151467.7686307981,111000.0
2021-10-27,149877.14333140466,111000.0
2021-10-28,151765.3259013556,111000.0
2021-10-29,152953.37307684871,111000.0
2021-11-01,154400.13867772557,112000.0
2021-11-02,156015.58522766767,112000.0
2021-11-03,157212.94716451727,112000.0
2021-11-04,161943.67495593615,112000.0
2021-11-05,162602.4336608429,112000.0
2021-11-08,163050.62634812164,112000.0
2021-11-09,162758.7787945067,112000.0
2021-11-10,159928.47696213354,112000.0
2021-11-11,162262.74818329175,112000.0
2021-11-12,164253.4027501935,112000.0
2021-11-15,163894.61300440112,112000.0
2021-11-16,164806.09594120295,112000.0
2021-11-17,163884.60907292756,112000.0
2021-11-18,166128.92581486324,112000.0
2021-11-19,166760.05510633232,112000.0
2021-11-22,164525.40994083238,112000.0
2021-11-23,165168.5197128723,112000.0
2021-11-24,166579.94044628827,112000.0
2021-11-26,163794.16947225702,112000.0
2021-11-29,167089.9143548317,112000.0
2021-11-30,163222.68563712592,112000.0
2021-12-01,160945.39623224695,113000.0
2021-12-02,161952.71016746367,113000.0
2021-12-03,159486.4101926096,113000.0
2021-12-06,160370.2357382168,113000.0
2021-12-07,166216.58574117,113000.0
2021-12-08,164650.6631993561,113000.0
2021-12-09,161567.1560615982,113000.0
2021-12-10,165780.77923305923,113000.0
2021-12-13,162053.73118897987,113000.0
2021-12-14,161139.21572958352,113000.0
2021-12-15,166134.91966260306,113000.0
2021-12-16,161758.82822003256,113000.0
2021-12-17,160788.58134738263,113000.0
2021-12-20,161202.42158711143,113000.0
2021-12-21,163949.69297553602,113000.0
2021-12-22,165721.5372741906,113000.0
2021-12-23,166725.07391142394,113000.0
2021-12-27,169495.30320004368,113000.0
2021-12-28,168492.866261513,113000.0
2021-12-29,168487.27022896992,113000.0
2021-12-30,167449.37869690201,113000.0
2021-12-31,166879.73606826938,113000.0
2022-01-03,168865.87791390397,114000.0
2022-01-04,169199.5886290961,114000.0
2022-01-05,162920.5511404968,114000.0
2022-01-06,162720.82806209943,114000.0
2022-01-07,159556.34333457978,114000.0
2022-01-10,159002.98076049396,114000.0
2022-01-11,159765.04301070864,114000.0
2022-01-12,160128.97897469605,114000.0
2022-01-13,155490.5838826718,114000.0
2022-01-14,153450.0884231492,114000.0
2022-01-18,148219.53333640035,114000.0
2022-01-19,146323.69013898342,114000.0
2022-01-20,143239.93168933972,114000.0
2022-01-21,134572.57600075583,114000.0
2022-01-24,134824.51011686726,114000.0
2022-01-25,131790.05924537804,114000.0
2022-01-26,133931.67316446936,114000.0
2022-01-27,133033.28865895345,114000.0
2022-01-28,135751.34589202906,114000.0
2022-01-31,142648.32647051866,114000.0
2022-02-01,146629.40189990622,115000.0
2022-02-02,146816.7533791805,115000.0
2022-02-03,142344.4748470445,115000.0
2022-02-04,144307.35094889218,115000.0
2022-02-07,144058.59845939017,115000.0
2022-02-08,146210.39900986513,115000.0
2022-02-09,149731.24610666116,115000.0
2022-02-10,146188.97534271778,115000.0
2022-02-11,144416.6482673906,115000.0
2022-02-14,144527.81226099294,115000.0
2022-02-15,146598.43126257102,115000.0
2022-02-16,146134.63348621796,115000.0
2022-02-17,145151.50491447258,115000.0
2022-02-18,145049.71668978885,115000.0
2022-02-22,144146.68105767126,115000.0
2022-02-23,142871.3400860846,115000.0
2022-02-24,144549.6399373613,115000.0
2022-02-25,145904.2820644333,115000.0
2022-02-28,145992.03750997988,115000.0
2022-03-01,146138.63603010497,116000.0
2022-03-02,147510.33070724178,116000.0
2022-03-03,147416.2840656165,116000.0
2022-03-04,147983.5702150379,116000.0
2022-03-07,146581.25380118468,116000.0
2022-03-08,146543.58275406825,116000.0
2022-03-09,148205.56830107508,116000.0
2022-03-10,147977.68092619668,116000.0
2022-03-11,146959.86883013463,116000.0
2022-03-14,146208.93623248517,116000.0
2022-03-15,148996.45793982386,116000.0
2022-03-16,149994.6832875615,116000.0
2022-03-17,150391.16835396335,116000.0
2022-03-18,151508.23512044337,116000.0
2022-03-21,150762.1047076746,116000.0
2022-03-22,151692.91234062045,116000.0
2022-03-23,150529.30566177552,116000.0
2022-03-24,152571.8729024003,116000.0
2022-03-25,152555.28918478207,116000.0
2022-03-28,153503.14430802924,116000.0
2022-03-29,154403.54234629817,116000.0
2022-03-30,154204.29244158007,116000.0
2022-03-31,154068.30772580695,116000.0
2022-04-01,154870.83555230603,117000.0
2022-04-04,155359.4087465314,117000.0
2022-04-05,154002.22050463085,117000.0
2022-04-06,153887.5154870986,117000.0
2022-04-07,155643.99335027108,117000.0
2022-04-08,154001.57772497064,117000.0
2022-04-11,152464.19418664186,117000.0
2022-04-12,152519.08725747658,117000.0
2022-04-13,153718.82641261577,117000.0
2022-04-14,152431.99771305048,117000.0
2022-04-18,152668.77478362186,117000.0
2022-04-19,154287.60480817815,117000.0
2022-04-20,154963.65544639959,117000.0
2022-04-21,153778.52207415344,117000.0
2022-04-22,151942.77243922208,117000.0
2022-04-25,151751.1532918895,117000.0
2022-04-26,148863.90110184083,117000.0
2022-04-27,148852.06601140075,117000.0
2022-04-28,150775.8081678581,117000.0
2022-04-29,146952.44491200644,117000.0
2022-05-02,149203.5253695218,118000.0
2022-05-03,149459.10148299695,118000.0
2022-05-04,152134.24687462498,118000.0
2022-05-05,148599.3699943422,118000.0
2022-05-06,147592.48548930784,118000.0
2022-05-09,146127.2034543885,118000.0
2022-05-10,147539.76573763057,118000.0
2022-05-11,145695.99689241737,118000.0
2022-05-12,145568.2350572797,118000.0
2022-05-13,145568.2350572797,118000.0
2022-05-16,145568.2350572797,118000.0
2022-05-17,145568.2350572797,118000.0
2022-05-18,145568.2350572797,118000.0
2022-05-19,145568.2350572797,118000.0
2022-05-20,145568.2350572797,118000.0
2022-05-23,145568.2350572797,118000.0
2022-05-24,145568.2350572797,118000.0
2022-05-25,145568.2350572797,118000.0
2022-05-26,145568.2350572797,118000.0
2022-05-27,145568.2350572797,118000.0
2022-05-31,145568.2350572797,118000.0
2022-06-01,146568.2350572797,119000.0
2022-06-02,146568.2350572797,119000.0
2022-06-03,146568.2350572797,119000.0
2022-06-06,146568.2350572797,119000.0
2022-06-07,146568.2350572797,119000.0
2022-06-08,146568.2350572797,119000.0
2022-06-09,146568.2350572797,119000.0
2022-06-10,146568.2350572797,119000.0
2022-06-13,146568.2350572797,119000.0
2022-06-14,146568.2350572797,119000.0
2022-06-15,146568.2350572797,119000.0
2022-06-16,146568.2350572797,119000.0
2022-06-17,146568.2350572797,119000.0
2022-06-21,146568.2350572797,119000.0
2022-06-22,146568.2350572797,119000.0
2022-06-23,146568.2350572797,119000.0
2022-06-24,146568.2350572797,119000.0
2022-06-27,146568.2350572797,119000.0
2022-06-28,146568.2350572797,119000.0
2022-06-29,146568.2350572797,119000.0
2022-06-30,146568.2350572797,119000.0
2022-07-01,147568.2350572797,120000.0
2022-07-05,147568.2350572797,120000.0
2022-07-06,147568.2350572797,120000.0
2022-07-07,147568.2350572797,120000.0
2022-07-08,147568.2350572797,120000.0
2022-07-11,147568.2350572797,120000.0
2022-07-12,147568.2350572797,120000.0
2022-07-13,147568.2350572797,120000.0
2022-07-14,147568.2350572797,120000.0
2022-07-15,147568.2350572797,120000.0
2022-07-18,147568.2350572797,120000.0
2022-07-19,147568.2350572797,120000.0
2022-07-20,147568.2350572797,120000.0
2022-07-21,147568.2350572797,120000.0
2022-07-22,147568.2350572797,120000.0
2022-07-25,147568.2350572797,120000.0
2022-07-26,147568.2350572797,120000.0
2022-07-27,147568.2350572797,120000.0
2022-07-28,147568.2350572797,120000.0
2022-07-29,147568.2350572797,120000.0
2022-08-01,148568.2350572797,121000.0
2022-08-02,148568.2350572797,121000.0
2022-08-03,148568.2350572797,121000.0
2022-08-04,148568.2350572797,121000.0
2022-08-05,148568.2350572797,121000.0
2022-08-08,148568.2350572797,121000.0
2022-08-09,148568.2350572797,121000.0
2022-08-10,148568.2350572797,121000.0
2022-08-11,148568.2350572797,121000.0
2022-08-12,148138.63302151728,121000.0
2022-08-15,148379.95435712408,121000.0
2022-08-16,147625.2142554777,121000.0
2022-08-17,145114.8976244317,121000.0
2022-08-18,146933.36313474824,121000.0
2022-08-19,143860.77473312692,121000.0
2022-08-22,138881.03313897736,121000.0
2022-08-23,138188.69941482617,121000.0
2022-08-24,139046.95212919876,121000.0
2022-08-25,142710.88636408487,121000.0
2022-08-26,136085.44798717447,121000.0
2022-08-29,135470.4558001085,121000.0
2022-08-30,134229.38720569393,121000.0
2022-08-31,133754.526361292,121000.0
2022-09-01,135943.3586283671,122000.0
2022-09-02,135090.56675677752,122000.0
2022-09-06,133501.34508927783,122000.0
2022-09-07,136990.63341253862,122000.0
2022-09-08,137714.89981656463,122000.0
2022-09-09,140183.04915302125,122000.0
2022-09-12,141559.3358489152,122000.0
2022-09-13,133879.87972667467,122000.0
2022-09-14,135367.757488765,122000.0
2022-09-15,136241.01084108796,122000.0
2022-09-16,136832.28337528277,122000.0
2022-09-19,137719.72607430114,122000.0
2022-09-20,135728.4340668603,122000.0
2022-09-21,132802.97345717216,122000.0
2022-09-22,132396.06743380742,122000.0
2022-09-23,129159.79253618605,122000.0
2022-09-26,127493.77726226667,122000.0
2022-09-27,127216.0211578029,122000.0
2022-09-28,131822.24650746386,122000.0
2022-09-29,128592.18580904005,122000.0
2022-09-30,126506.53872324845,122000.0
2022-10-03,130781.18306073683,123000.0
2022-10-04,135027.96518591786,123000.0
2022-10-05,134258.44985425094,123000.0
2022-10-06,133713.34337803625,123000.0
2022-10-07,128609.05075087925,123000.0
2022-10-10,127330.49376191513,123000.0
2022-10-11,123326.94191579109,123000.0
2022-10-12,124942.91607193321,123000.0
2022-10-13,129442.10623477068,123000.0
2022-10-14,128132.55148697598,123000.0
2022-10-17,133461.8629793404,123000.0
2022-10-18,133932.00656761893,123000.0
2022-10-19,137732.14303799666,123000.0
2022-10-20,136736.3374119681,123000.0
2022-10-21,143540.7630829508,123000.0
2022-10-24,143371.24991584933,123000.0
2022-10-25,145611.5381758468,123000.0
2022-10-26,144401.27613380522,123000.0
2022-10-27,143088.8933695114,123000.0
2022-10-28,145758.26622945472,123000.0
2022-10-31,144385.203265303,123000.0
2022-11-01,143925.26784631042,124000.0
2022-11-02,139577.46999830444,124000.0
2022-11-03,137165.0272240507,124000.0
2022-11-04,139352.15144993103,124000.0
2022-11-07,140476.59756352648,124000.0
2022-11-08,141842.181997039,124000.0
2022-11-09,138621.337527111,124000.0
2022-11-10,147753.91236791282,124000.0
2022-11-11,152011.37659514556,124000.0
2022-11-14,152602.2241426617,124000.0
2022-11-15,155435.41072900753,124000.0
2022-11-16,152585.18049824575,124000.0
2022-11-17,150342.50877370915,124000.0
2022-11-18,149328.6015083846,124000.0
2022-11-21,148616.18952535235,124000.0
2022-11-22,151675.6543964117,124000.0
2022-11-23,153997.94278413692,124000.0
2022-11-25,152444.50893896777,124000.0
2022-11-28,149687.8804887552,124000.0
2022-11-29,149935.4452864732,124000.0
2022-11-30,158624.53543660615,124000.0
2022-12-01,161158.42842317707,125000.0
2022-12-02,160201.23755663386,125000.0
2022-12-05,156625.65478589133,125000.0
2022-12-06,154117.41740378176,125000.0
2022-12-07,154279.60812399385,125000.0
2022-12-08,157796.78233184302,125000.0
2022-12-09,159710.5687722281,125000.0
2022-12-12,161398.7006228911,125000.0
2022-12-13,164140.91831138948,125000.0
2022-12-14,163038.7477425332,125000.0
2022-12-15,155292.0039457718,125000.0
2022-12-16,154239.02972159602,125000.0
2022-12-19,153399.6178461087,125000.0
2022-12-20,152877.35255294607,125000.0
2022-12-21,156808.05836441726,125000.0
2022-12-22,153596.70256120255,125000.0
2022-12-23,153063.13008833834,125000.0
2022-12-27,149595.21432561884,125000.0
2022-12-28,147931.24240066824,125000.0
2022-12-29,152320.6027458609,125000.0
2022-12-30,153288.50197523995,125000.0
2023-01-03,153668.35713890017,126000.0
2023-01-04,157586.0254896305,126000.0
2023-01-05,156360.02018058675,126000.0
2023-01-06,161521.16769827035,126000.0
2023-01-09,161900.8320511803,126000.0
2023-01-10,164594.39093722802,126000.0
2023-01-11,165270.57255346075,126000.0
2023-01-12,166882.84022199365,126000.0
2023-01-13,168924.57602204455,126000.0
2023-01-17,168706.7554639769,126000.0
2023-01-18,166441.4603630912,126000.0
2023-01-19,162320.69943232037,126000.0
2023-01-20,169094.45546807678,126000.0
2023-01-23,175370.34164197673,126000.0
2023-01-24,177109.4323558207,126000.0
2023-01-25,178115.3304854534,126000.0
2023-01-26,179695.50662663154,126000.0
2023-01-27,179678.57609007036,126000.0
2023-01-30,175217.43158687922,126000.0
2023-01-31,176539.37386227836,126000.0
2023-02-01,182527.741004073,127000.0
2023-02-02,184718.97122420126,127000.0
2023-02-03,183545.13390198268,127000.0
2023-02-06,183356.94262876248,127000.0
2023-02-07,187071.22332557949,127000.0
2023-02-08,186518.62404989725,127000.0
2023-02-09,185218.95786599358,127000.0
2023-02-10,180629.7079558597,127000.0
2023-02-13,184230.43254561667,127000.0
2023-02-14,186312.90529035183,127000.0
2023-02-15,186392.64140379263,127000.0
2023-02-16,182319.78793236028,127000.0
2023-02-17,181025.42638413823,127000.0
2023-02-21,176941.12838534368,127000.0
2023-02-22,175929.78459950763,127000.0
2023-02-23,179792.78656796901,127000.0
2023-02-24,178288.27543545037,127000.0
2023-02-27,180020.05174572213,127000.0
2023-02-28,181365.75461528767,127000.0
2023-03-01,180175.32214789008,128000.0
2023-03-02,180912.2897921444,128000.0
2023-03-03,186962.37937603332,128000.0
2023-03-06,185844.74668128596,128000.0
2023-03-07,183141.33289819895,128000.0
2023-03-08,185045.914592135,128000.0
2023-03-09,178914.85250071736,128000.0
2023-03-10,177905.72687515098,128000.0
2023-03-13,177547.5533900606,128000.0
2023-03-14,183466.198118257,128000.0
2023-03-15,182728.85584766924,128000.0
2023-03-16,187874.46404411795,128000.0
2023-03-17,184003.23285703547,128000.0
2023-03-20,186086.91859236913,128000.0
2023-03-21,188175.31868021114,128000.0
2023-03-22,185409.9244896734,128000.0
2023-03-23,190431.41601674297,128000.0
2023-03-24,190152.70417980762,128000.0
2023-03-27,189727.21383316224,128000.0
2023-03-28,188753.00001080884,128000.0
2023-03-29,191328.36641044082,128000.0
2023-03-30,193415.81471767128,128000.0
2023-03-31,196409.69564526159,128000.0
2023-04-03,198161.56480709073,129000.0
2023-04-04,196408.50856894677,129000.0
2023-04-05,194306.0572746346,129000.0
2023-04-06,194417.8869295373,129000.0
2023-04-10,195397.16479495342,129000.0
2023-04-11,194390.90745596605,129000.0
2023-04-12,192346.07394014177,129000.0
2023-04-13,195637.2634171978,129000.0
2023-04-14,198223.6320191585,129000.0
2023-04-17,198424.54820480212,129000.0
2023-04-18,200164.54253364052,129000.0
2023-04-19,199138.2012855966,129000.0
2023-04-20,197582.15409966992,129000.0
2023-04-21,197763.963787121,129000.0
2023-04-24,197932.96282875768,129000.0
2023-04-25,193413.89748435997,129000.0
2023-04-26,193337.1580796608,129000.0
2023-04-27,199535.02494449398,129000.0
2023-04-28,201942.18515164498,129000.0
2023-05-01,206144.76667660166,130000.0
2023-05-02,201251.70821581237,130000.0
2023-05-03,199629.2103842787,130000.0
2023-05-04,198076.78214998057,130000.0
2023-05-05,202017.2375317072,130000.0
2023-05-08,203695.85174235745,130000.0
2023-05-09,202033.04612662244,130000.0
2023-05-10,203360.00692204997,130000.0
2023-05-11,204335.3236682243,130000.0
2023-05-12,202778.66060226565,130000.0
2023-05-15,204742.05762746948,130000.0
2023-05-16,204985.21902574578,130000.0
2023-05-17,209581.83023339175,130000.0
2023-05-18,219422.6250054038,130000.0
2023-05-19,217838.61759861678,130000.0
2023-05-22,217620.04556489256,130000.0
2023-05-23,215931.4493057388,130000.0
2023-05-24,217045.94201915347,130000.0
2023-05-25,233618.41101737367,130000.0
2023-05-26,246408.13843921223,130000.0
2023-05-30,250048.50666130782,130000.0
2023-05-31,247166.081360276,130000.0
2023-06-01,253191.62657561232,131000.0
2023-06-02,253595.8142334552,131000.0
2023-06-05,252825.14649344742,131000.0
2023-06-06,250309.42566526207,131000.0
2023-06-07,246870.97169611417,131000.0
2023-06-08,251224.72312551914,131000.0
2023-06-09,253428.83479399947,131000.0
2023-06-12,260284.61416151255,131000.0
2023-06-13,264565.85669938143,131000.0
2023-06-14,271825.0304428739,131000.0
2023-06-15,273523.15434089286,131000.0
2023-06-16,270262.3471245527,131000.0
2023-06-20,273370.8323711719,131000.0
2023-06-21,268719.74859149737,131000.0
2023-06-22,268700.60044128395,131000.0
2023-06-23,266847.0488356784,131000.0
2023-06-26,260564.49634464932,131000.0
2023-06-27,266741.06777955766,131000.0
