Date,nav,benchmark,position,qqq_mxn,usd_mxn,rsi,srp,support,resistance,smooth
2022-09-26,4089771.229163383,2214098.3960540514,1,0.010463739656765947,20.211259841918945,29.61787241269768,-2.9601234354479566,303.2452697753906,315.072998046875,273.0914763592117
2022-09-27,4125963.929057168,2232463.646316881,1,0.008294685681340841,20.37074089050293,29.766095408980334,-2.951033488057672,303.2452697753906,315.072998046875,269.9684712653613
2022-09-28,4366715.380099506,2276635.693876678,1,0.0197862337568957,20.368629455566406,36.87409647635505,-2.49973553232827,303.2452697753906,315.072998046875,268.9243717885479
2022-09-29,3962030.4631121373,2191067.78938934,1,-0.037585242433598176,20.18494987487793,31.75817612297061,-3.16676686336181,303.2452697753906,315.072998046875,265.70076652268926
2022-09-30,3742884.0847076103,2147470.703802325,1,-0.019897643422144506,20.12455940246582,29.26071295816493,-3.5478093046177346,303.2452697753906,315.072998046875,261.2556201591951
2022-10-03,4001057.9422174445,2197067.648325303,1,0.02309551624390571,20.117389678955078,36.56720237517544,-3.0295584550959695,303.2452697753906,315.072998046875,260.6059468355734
2022-10-04,4348828.458353774,2253677.1916208076,1,0.02576595369680801,20.00670051574707,44.96406926823086,-2.318708056072307,303.2452697753906,315.072998046875,263.88654935481287
2022-10-05,4331166.074742528,2247804.888295318,1,-0.002605654149282377,19.965190887451172,44.85248330837842,-2.331113525005741,303.2452697753906,315.072998046875,267.01226839716486
2022-10-06,4236339.26499789,2237771.5405814056,1,-0.004463620381892408,20.03380012512207,43.14679998772298,-2.5146128064277256,303.2452697753906,315.072998046875,268.9859091227811
2022-10-07,3765652.1874146666,2159626.884549575,1,-0.03492074799178446,20.100099563598633,36.05632282705569,-3.395726202424846,303.2452697753906,315.072998046875,267.37206391339214
2022-10-10,3635096.846043258,2130561.082968607,1,-0.013458714460775845,20.029800415039062,34.51493546181746,-3.618069979436026,303.2452697753906,315.072998046875,265.19968931233524
2022-10-11,3475173.040900529,2091901.5328526287,1,-0.018145243722424653,19.94029998779297,32.48038216898203,-3.9205926139984673,303.2452697753906,315.072998046875,261.8289910224322
2022-10-12,3489292.156185408,2104321.022957159,1,0.00593693819211194,20.06555938720703,32.42974419520071,-3.9280338312206022,303.2452697753906,315.072998046875,259.3524627977015
2022-10-13,3705418.9661463383,2143759.11738191,1,0.018741481929087644,19.97319984436035,39.39244453925209,-3.4188729290891215,303.2452697753906,315.072998046875,260.0955416912917
2022-10-14,3371951.2892825576,2079584.1995947694,1,-0.029935694391595047,19.97570037841797,34.38712349825555,-4.086731205379143,303.2452697753906,315.072998046875,258.93710424077784
2022-10-17,3711418.034062711,2152578.1356983534,1,0.03510025519419102,20.015899658203125,42.736863062780664,0.0,263.3259582519531,315.072998046875,260.74930921540687
2022-10-18,3795342.2526304093,2164820.952647198,1,0.005687513380262299,19.971799850463867,44.61468078252056,0.0402424561244174,263.3259582519531,315.072998046875,263.080754488221
2022-10-19,3758134.4046783657,2162012.7406942784,1,-0.00129720287005064,20.01889991760254,43.89416752751355,0.021537501614428002,263.3259582519531,315.072998046875,264.48815735604126
2022-10-20,3714690.166276085,2162641.335132433,1,0.00029074502028736404,20.127410888671875,42.8552494381743,-0.0045351420431257216,263.3259582519531,315.072998046875,264.971833357561
2022-10-21,3960949.8359101075,2204042.0831035767,1,0.019143603379155882,20.042760848999023,48.82009237654742,0.11467834991599077,263.3259582519531,315.072998046875,267.5813691184117
2022-10-24,4073209.6061360184,2216031.1144256075,1,0.005439565520976242,19.9325008392334,51.441181245425916,0.17192257586632123,263.3259582519531,315.072998046875,270.18789331729465
2022-10-25,4313043.209512301,2259102.5418541804,1,0.019436291822886753,19.908100128173828,56.049182183994525,0.28074298483115884,263.3259582519531,315.072998046875,273.6790471286557
2022-10-26,4019660.9083742434,2204579.830572551,1,-0.02413467749758691,19.866600036621094,50.430211528661076,0.16209859717264266,263.3259582519531,315.072998046875,274.1365863564884
2022-10-27,3812867.2212079484,2172770.5427312753,1,-0.014428730318654215,19.943029403686523,46.39442986955395,0.0665032285611333,263.3259582519531,315.072998046875,272.3874899713693
2022-10-28,4136333.5659614825,2227724.6538371444,1,0.025292183424389103,19.840309143066406,53.068953760098715,0.22425540221520163,263.3259582519531,315.072998046875,274.4361593177319
2022-10-31,3989326.0752434623,2199588.9526306298,1,-0.012629792985435762,19.820199966430664,50.42120724664535,0.16247603422174545,263.3259582519531,315.072998046875,275.518570456698
2022-11-01,3860286.7107322514,2174148.672354277,1,-0.011565924736040678,19.79319953918457,48.173246468393735,0.10882158845561606,263.3259582519531,315.072998046875,274.13094606309494
2022-11-02,3449004.069142619,2092379.1459344304,1,-0.0376099056424245,19.724899291992188,41.549194612921305,-0.06933695515635036,263.3259582519531,315.072998046875,269.70356657694805
2022-11-03,3242360.7556289765,2046669.2386847616,1,-0.021845900795983808,19.67840003967285,38.41817222105517,0.5,263.3259582519531,254.6641082763672,263.8846560844104
2022-11-04,3392207.2041573306,2078730.556506753,1,0.015665119314831166,19.670270919799805,42.20474558068366,0.5,263.3259582519531,254.6641082763672,260.64272086904583
2022-11-07,3480903.3052325477,2090163.474945379,1,0.005499952075481485,19.5633602142334,44.74597807233329,0.5,263.3259582519531,254.6641082763672,259.55136274412575
2022-11-08,3534224.41208206,2092452.3613716443,1,0.0010950753152574322,19.443099975585938,46.445195448121716,0.5,263.3259582519531,254.6641082763672,259.65952782437466
