Date,nav,benchmark,position,mu_est,vol_est,prob_bull,qqq_mxn,usd_mxn
2010-09-29,246047.30895274042,220369.51640167332,2,0.002097084676435701,0.010273129420381253,0.9063132974187904,0.0022976063587136775,12.53499984741211
2010-09-30,243858.1249042625,220418.50247371293,2,0.001933837037989912,0.010049375687409323,0.8943879409544342,0.00022229060007705748,12.593999862670898
2010-10-01,241922.42187724594,219082.68671989164,2,0.0018621563639332475,0.009679644978997329,0.8740000000000003,-0.006060361262007041,12.532999992370605
2010-10-04,235057.44726404687,218131.3781315586,2,0.001548631034189919,0.009967628367817703,0.8372045532299259,-0.004342235356778024,12.614999771118164
2010-10-05,249653.39814627485,220872.48508667457,2,0.0021002723708365327,0.01137162992606252,0.9024626508237448,0.012566312002405988,12.470000267028809
2010-10-06,243252.14257009514,218924.7917315829,2,0.0018948911415245379,0.011358254855467601,0.8766046900879358,-0.008818180111150431,12.468000411987305
2010-10-07,247351.19759662374,221258.5006994798,2,0.0019127476489451808,0.011001419393126294,0.875568682783463,0.01065986610944547,12.555000305175781
2010-10-08,249359.32314498717,220154.8013515046,2,0.002013241751034757,0.010731737092894923,0.9000207662059929,-0.004988279973361487,12.406999588012695
2010-10-11,250771.2733785487,221042.13090316847,2,0.001988162593022461,0.010394951654342864,0.9030209657190432,0.004030480126786529,12.45199966430664
2010-10-12,255052.3149492314,221747.90606652136,2,0.0021137389539180656,0.010126595556816085,0.9187112553471253,0.0031929440802489495,12.406999588012695
2010-10-13,260618.24622896643,223021.63007032237,2,0.0022721122990007774,0.009892784445630963,0.9378159008960057,0.005744018179900667,12.376999855041504
2010-10-14,259695.18501766815,223029.8847001959,2,0.002178620116089055,0.009586032307588126,0.9272257340766634,3.701268738343089e-05,12.402000427246094
2010-10-15,276906.78644160606,228295.54200951988,2,0.002530126703636466,0.010606600618934325,0.950904757615337,0.02360964906744334,12.430999755859375
2010-10-18,273115.09914446896,226940.69129270993,2,0.0024293954203417263,0.010410818068394005,0.941903770517197,-0.005934635012511347,12.402999877929688
2010-10-19,264834.2839067927,227028.66681161252,2,0.0021865702241837762,0.010580589027204348,0.9225194376975763,0.00038765863627832076,12.524999618530273
2010-10-20,267361.6391923556,226161.9145230432,2,0.002309658647567424,0.01026988011156612,0.9383964581726252,-0.0038178098860464083,12.38700008392334
2010-10-21,268944.1155733108,226365.99676815278,2,0.0023128245388049553,0.009882068886806036,0.9358381761518837,0.0009023722917271826,12.37399959564209
2010-10-22,273545.6675913142,227376.5738610879,2,0.0024220748016759684,0.009562726644526664,0.9536327046146161,0.004464350244132165,12.345000267028809
2010-10-25,277853.9227200587,228606.87486763555,2,0.0024983303923941744,0.0091959065727498,0.9550000000000004,0.005410852075285799,12.35200023651123
2010-10-26,280696.0666487004,230188.68860316306,2,0.0025196628659107014,0.0088149585831129,0.960725034069105,0.0069193620552461255,12.404000282287598
2010-10-27,284682.95149712847,231789.9862461837,2,0.002552070413022743,0.008421288522314945,0.9698609333869268,0.0069564566909767755,12.45199966430664
2010-10-28,284271.8767843285,230618.34815125648,2,0.002551189361759121,0.00805656656713466,0.9736247282452362,-0.005054739913064377,12.36299991607666
2010-10-29,282427.03414589044,229698.38403188146,2,0.0023930683429403093,0.007835715190944831,0.9622393990050342,-0.003989119368644656,12.342000007629395
2010-11-01,282777.9360863948,229632.3726216145,2,0.0023009660564465356,0.007450428174553651,0.9490000000000004,-0.00028738299812247625,12.329000473022461
2010-11-02,290356.55710162316,231304.27996671706,2,0.0026086043499770916,0.007564399999966512,0.9683190963498096,0.007280799854197939,12.286999702453613
2010-11-03,293569.51384647505,231580.74885765914,2,0.002696355192660755,0.007261054555587692,0.9787498700922549,0.0011952605934566485,12.246000289916992
2010-11-04,303623.8254153358,234151.80833962496,2,0.003008583290946395,0.007466836431878033,0.9866371286940112,0.011102215942595972,12.232000350952148
2010-11-05,303142.3866946612,233500.95368381822,2,0.0029173349320916067,0.007238039638640081,0.9852093109900796,-0.0027796268601210095,12.197999954223633
2010-11-08,304684.23712236073,234399.64630268284,2,0.0028724853790894024,0.006967918993285793,0.9842650108355829,0.0038487749394013893,12.229000091552734
2010-11-09,301376.05413008766,234393.01208353267,2,0.0025791804854925693,0.007107855854095952,0.9741038849516344,-2.8303025430331807e-05,12.295000076293945
2010-11-10,304455.7344749146,234400.5747716691,2,0.0026631462162476412,0.006855029617300018,0.9786697203981478,3.2264989767494257e-05,12.233599662780762
2010-11-11,299785.60301165044,233267.3498977655,2,0.002347709953200849,0.007061324065498881,0.9636885854133882,-0.004834565252271661,12.251999855041504
2010-11-12,286504.7806595564,231057.39947742436,2,0.0019407991539964595,0.00847773515639918,0.9306545521197419,-0.009473895173540914,12.336999893188477
2010-11-15,282012.36343024083,229020.70608391977,2,0.0017644150715741711,0.008296724017677212,0.9059194036108283,-0.008814664226771907,12.274999618530273
2010-11-16,271053.12874874345,227806.2150991156,2,0.0014807361994137603,0.009321581243004834,0.8570000000000003,-0.0053029745893768965,12.413999557495117
2010-11-17,272513.4959536434,227548.22133914605,2,0.001479952337244813,0.009044126863663259,0.8607865405377684,-0.001132514140833596,12.363900184631348
2010-11-18,282922.4238967438,229377.7345413489,2,0.001845168443217961,0.009599325499909144,0.9235263475810711,0.008040112075743622,12.265999794006348
