Date,NAV
2023-07-12,180237.7052446355
2023-07-13,181205.3399047022
2023-07-14,180830.8485714628
2023-07-17,182595.97361954697
2023-07-18,182958.51471670606
2023-07-19,184149.78196195996
2023-07-20,178315.1943926739
2023-07-21,176463.4878163483
2023-07-24,177710.18626974296
2023-07-25,177252.2459723747
2023-07-26,177653.52742421319
2023-07-27,176968.61174162832
2023-07-28,177349.6315546621
2023-07-31,177795.5062365206
2023-08-01,179025.6715785873
2023-08-02,177209.76491196943
2023-08-03,177073.75042857297
2023-08-04,177097.11093326233
2023-08-07,177128.73541735756
2023-08-08,177160.36554868208
2023-08-09,177192.00132824434
2023-08-10,177223.64275705293
2023-08-11,177255.2898361167
2023-08-14,177286.94256644454
2023-08-15,177318.60094904568
2023-08-16,177350.2649849294
2023-08-17,177381.93467510527
2023-08-18,177413.61002058294
2023-08-21,177445.29102237232
2023-08-22,177476.97768148343
2023-08-23,177508.66999892655
2023-08-24,177540.36797571206
2023-08-25,177572.07161285056
2023-08-28,177603.78091135283
2023-08-29,179148.72305590712
2023-08-30,179834.0533138538
2023-08-31,181354.6829697701
2023-09-01,180434.09247396805
2023-09-05,182078.37223213055
2023-09-06,181581.13620328315
2023-09-07,180384.73181060603
2023-09-08,180249.4490513883
2023-09-11,182150.01092144224
2023-09-12,179924.50599530432
2023-09-13,177828.72359539763
2023-09-14,178937.65020579298
2023-09-15,176886.7784421686
2023-09-18,177390.0773630779
2023-09-19,177741.98333298665
2023-09-20,176616.83509740327
2023-09-21,175522.63979783218
2023-09-22,174977.00097125262
2023-09-25,175282.322717631
2023-09-26,174702.9860379043
2023-09-27,174722.73302793378
2023-09-28,174753.93351597447
2023-09-29,173760.41444346696
2023-10-02,174780.12239991172
2023-10-03,173824.63753560762
2023-10-04,174610.36467428366
2023-10-05,174502.56409947225
2023-10-06,176275.64151256476
2023-10-09,177457.2543616776
2023-10-10,178208.56038972992
2023-10-11,180266.81137568393
2023-10-12,181717.8476367038
2023-10-13,178697.59400838643
2023-10-16,181047.86810281797
2023-10-17,180334.3953689988
2023-10-18,179362.80993207672
2023-10-19,177428.07491195068
2023-10-20,175822.1206678995
2023-10-23,175832.12974125802
2023-10-24,175863.52833585464
2023-10-25,175894.93253734318
2023-10-26,175926.34234672482
2023-10-27,175957.757765001
2023-10-30,175989.1787931733
2023-10-31,176020.60543224352
2023-11-01,177052.03768321357
2023-11-02,177083.65411851413
2023-11-03,177115.2761996067
2023-11-06,177018.53899571474
2023-11-07,178441.93754698045
2023-11-08,179371.9640151895
2023-11-09,179508.06003557116
2023-11-10,183375.10176825704
2023-11-13,182825.5589860498
2023-11-14,185358.0364867765
2023-11-15,185016.38610805932
2023-11-16,184304.82060365818
