Date,strategy
2019-10-31,217093.09398635788
2019-11-01,217149.34866507736
2019-11-04,217205.6179209021
2019-11-05,217261.9017576094
2019-11-06,217318.20017897754
2019-11-07,217374.51318878582
2019-11-08,217430.8407908145
2019-11-11,217487.1829888448
2019-11-12,217543.53978665898
2019-11-13,217599.91118804022
2019-11-14,217656.29719677268
2019-11-15,217712.69781664154
2019-11-18,217769.1130514329
2019-11-19,217194.0124770848
2019-11-20,213845.44882747545
2019-11-21,213400.75553031024
2019-11-22,213067.00740751554
2019-11-25,219970.93788197494
2019-11-26,222434.63100434444
2019-11-27,227007.91994740142
2019-11-29,227066.74382507033
2019-12-02,227125.58294559325
2019-12-03,227184.43731292002
2019-12-04,227243.3069310015
2019-12-05,227302.19180378958
2019-12-06,227361.09193523714
2019-12-09,227420.00732929815
2019-12-10,227478.93798992754
2019-12-11,227537.8839210813
2019-12-12,227596.8451267164
2019-12-13,227655.8216107909
2019-12-16,227714.81337726387
2019-12-17,227773.82043009537
2019-12-18,227832.8427732465
2019-12-19,227891.8804106794
2019-12-20,227950.93334635725
2019-12-23,228010.00158424422
2019-12-24,228069.08512830554
2019-12-26,228128.18398250744
2019-12-27,228187.2981508172
2019-12-30,228246.4276372031
2019-12-31,228305.5724456345
2020-01-02,228364.7325800817
2020-01-03,228423.90804451614
2020-01-06,228483.09884291023
2020-01-07,228542.30497923738
2020-01-08,228601.5264574721
2020-01-09,228660.76328158984
2020-01-10,228720.01545556716
2020-01-13,228779.28298338165
2020-01-14,228838.56586901186
2020-01-15,228897.86411643744
2020-01-16,228957.17772963905
2020-01-17,229016.50671259835
2020-01-21,229075.85106929808
2020-01-22,229135.210803722
2020-01-23,229194.58591985487
2020-01-24,229253.9764216825
2020-01-27,229313.38231319177
2020-01-28,229372.80359837055
2020-01-29,229432.24028120775
2020-01-30,229491.6923656933
2020-01-31,229551.15985581823
2020-02-03,229610.64275557452
2020-02-04,229670.14106895524
2020-02-05,229729.65479995447
2020-02-06,229789.1839525673
2020-02-07,229848.72853078996
2020-02-10,229908.28853861956
2020-02-11,229967.86398005436
2020-02-12,230027.45485909365
2020-02-13,230087.0611797377
2020-02-14,230146.68294598785
2020-02-18,230206.32016184647
2020-02-19,230265.972831317
2020-02-20,230325.64095840385
2020-02-21,230385.3245471125
2020-02-24,230445.02360144953
2020-02-25,230504.73812542245
2020-02-26,230564.46812303987
2020-02-27,230624.21359831144
2020-02-28,230683.97455524784
2020-03-02,230743.75099786077
2020-03-03,230803.542930163
2020-03-04,230863.35035616832
2020-03-05,230923.17327989158
2020-03-06,230983.01170534862
2020-03-09,231042.8656365564
2020-03-10,231102.73507753288
2020-03-11,231162.620032297
2020-03-12,231222.52050486888
2020-03-13,231282.43649926956
2020-03-16,231342.36801952115
2020-03-17,231402.31506964684
2020-03-18,231462.27765367084
2020-03-19,230851.01517042276
2020-03-20,258718.1191744248
2020-03-23,267707.39846533217
2020-03-24,212354.67639880796
2020-03-25,211107.49404896167
2020-03-26,172022.64330603433
2020-03-27,182575.1925442132
2020-03-30,164796.64463167096
2020-03-31,164839.34788918862
2020-04-01,164882.0622122726
2020-04-02,164924.78760379032
2020-04-03,164967.52406660988
2020-04-06,165010.27160360015
2020-04-07,165053.03021763076
2020-04-08,165095.79991157207
2020-04-09,165138.5806882952
2020-04-13,165181.37255067195
2020-04-14,165224.17550157497
2020-04-15,165266.98954387757
2020-04-16,165309.81468045383
2020-04-17,165352.65091417858
2020-04-20,164915.97556027625
2020-04-21,182907.49473064396
2020-04-22,168933.13947840268
2020-04-23,170991.0430815795
2020-04-24,164510.8519803508
2020-04-27,162197.15037048492
2020-04-28,151974.0307598243
2020-04-29,164621.73920339413
2020-04-30,162018.37859804745
2020-05-01,150415.37310100876
2020-05-04,159708.92796436246
2020-05-05,159870.56550680666
2020-05-06,162238.1549702324
2020-05-07,171761.40149919066
2020-05-08,175724.3747136394
2020-05-11,177118.54217358556
2020-05-12,168661.50464068644
2020-05-13,165281.04128777375
2020-05-14,169517.15716064602
2020-05-15,169551.1652743735
2020-05-18,169595.10055648626
2020-05-19,169639.0472234162
2020-05-20,169683.00527811336
2020-05-21,169726.9747235287
2020-05-22,169770.9555626138
2020-05-26,169814.94779832108
2020-05-27,169858.95143360374
2020-05-28,169902.9664714157
2020-05-29,169946.99291471168
2020-06-01,169991.03076644713
2020-06-02,170035.08002957827
2020-06-03,170079.14070706212
2020-06-04,170123.21280185645
2020-06-05,170167.2963169198
2020-06-08,170211.39125521143
2020-06-09,170255.49761969145
2020-06-10,170299.6154133207
2020-06-11,170343.74463906072
2020-06-12,170387.88529987395
2020-06-15,170432.03739872348
2020-06-16,170476.20093857322
2020-06-17,170520.37592238787
2020-06-18,170564.56235313285
2020-06-19,170608.76023377434
2020-06-22,170652.96956727936
2020-06-23,170697.19035661564
2020-06-24,170741.42260475171
2020-06-25,170785.66631465685
2020-06-26,170829.92148930108
2020-06-29,170874.18813165525
2020-06-30,170918.46624469096
2020-07-01,170962.75583138055
2020-07-02,171007.05689469716
2020-07-06,171051.36943761472
2020-07-07,171095.6934631079
2020-07-08,171140.0289741521
2020-07-09,171184.3759737236
2020-07-10,171228.73446479932
2020-07-13,171273.10445035706
2020-07-14,171317.48593337534
2020-07-15,171361.87891683346
2020-07-16,171406.2834037115
2020-07-17,171450.69939699033
2020-07-20,171495.12689965154
2020-07-21,171539.5659146775
2020-07-22,171584.01644505144
2020-07-23,171628.47849375725
2020-07-24,171672.95206377964
2020-07-27,171717.4371581041
2020-07-28,171761.9337797169
2020-07-29,171806.44193160505
2020-07-30,171850.96161675637
2020-07-31,171895.49283815944
2020-08-03,171940.0355988036
2020-08-04,171984.58990167902
2020-08-05,172029.15574977658
2020-08-06,172073.73314608794
2020-08-07,172118.32209360556
2020-08-10,172162.92259532269
2020-08-11,172207.5346542333
2020-08-12,172252.1582733322
2020-08-13,172296.79345561494
2020-08-14,172341.44020407784
2020-08-17,172386.09852171803
2020-08-18,172430.76841153338
2020-08-19,172475.44987652256
2020-08-20,172520.14291968502
2020-08-21,172564.84754402097
2020-08-24,172609.5637525314
2020-08-25,172654.29154821805
2020-08-26,172699.03093408354
2020-08-27,172743.78191313116
2020-08-28,172788.544488365
2020-08-31,172833.31866278997
2020-09-01,172878.10443941172
2020-09-02,172922.9018212367
2020-09-03,172967.71081127215
2020-09-04,173012.53141252603
2020-09-08,173057.36362800715
2020-09-09,173102.20746072504
2020-09-10,173147.06291369005
2020-09-11,173191.92998991333
2020-09-14,173236.80869240675
2020-09-15,173281.699024183
2020-09-16,173326.60098825555
2020-09-17,173371.5145876386
2020-09-18,173416.43982534725
2020-09-21,173461.37670439723
2020-09-22,173506.32522780515
2020-09-23,173551.2853985884
2020-09-24,173596.2572197651
2020-09-25,173641.2406943542
2020-09-28,173686.2358253754
2020-09-29,173731.2426158492
2020-09-30,173776.26106879686
2020-10-01,173821.29118724048
2020-10-02,173866.3329742029
2020-10-05,173911.38643270772
2020-10-06,173956.45156577937
2020-10-07,174001.52837644305
2020-10-08,174046.61686772472
2020-10-09,174091.71704265117
2020-10-12,174136.82890424994
2020-10-13,174181.95245554933
2020-10-14,174227.0876995785
2020-10-15,174272.23463936732
2020-10-16,174317.39327794648
2020-10-19,174362.56361834749
2020-10-20,174407.74566360257
2020-10-21,174452.93941674478
2020-10-22,174498.14488080793
2020-10-23,174543.36205882666
2020-10-26,174588.59095383636
2020-10-27,174633.83156887323
2020-10-28,174679.0839069742
2020-10-29,174724.34797117708
2020-10-30,174769.6237645204
2020-11-02,174814.9112900435
2020-11-03,174860.21055078652
2020-11-04,174905.52154979037
2020-11-05,174950.84429009672
2020-11-06,174996.17877474808
2020-11-09,175041.52500678774
2020-11-10,175086.88298925973
2020-11-11,175132.25272520893
2020-11-12,175177.63421768098
2020-11-13,175223.02746972232
2020-11-16,175268.43248438014
2020-11-17,175313.8492647025
2020-11-18,175359.27781373815
2020-11-19,175404.71813453673
2020-11-20,175450.17023014856
2020-11-23,175495.63410362488
2020-11-24,175541.1097580176
2020-11-25,175586.5971963795
2020-11-27,175632.09642176412
2020-11-30,175677.6074372258
2020-12-01,175723.13024581963
2020-12-02,175768.66485060158
2020-12-03,175814.21125462835
2020-12-04,175859.76946095744
2020-12-07,175905.33947264712
2020-12-08,175950.9212927565
2020-12-09,175996.51492434548
2020-12-10,176042.1203704747
2020-12-11,176087.73763420564
2020-12-14,176133.36671860053
2020-12-15,176179.00762672245
2020-12-16,176224.66036163524
2020-12-17,176270.32492640355
2020-12-18,176316.00132409282
2020-12-21,176361.68955776928
2020-12-22,176407.38963049994
2020-12-23,176453.1015453526
2020-12-24,176498.8253053959
2020-12-28,176544.56091369924
2020-12-29,176590.30837333284
2020-12-30,176636.06768736767
2020-12-31,176681.83885887556
2021-01-04,176727.62189092906
2021-01-05,176773.4167866016
2021-01-06,176819.22354896733
2021-01-07,176865.04218110125
2021-01-08,176910.87268607912
2021-01-11,176956.71506697754
2021-01-12,177002.56932687387
2021-01-13,177048.43546884626
2021-01-14,177094.3134959737
2021-01-15,177140.20341133597
2021-01-19,177186.1052180136
2021-01-20,177232.01891908795
2021-01-21,177277.94451764118
2021-01-22,177323.88201675628
2021-01-25,177369.83141951697
2021-01-26,177415.7927290078
2021-01-27,177461.7659483142
2021-01-28,177507.75108052223
2021-01-29,177553.7481287189
2021-02-01,177599.75709599195
2021-02-02,177645.77798542992
2021-02-03,177691.81080012218
2021-02-04,177737.8555431589
2021-02-05,177783.91221763098
2021-02-08,177829.98082663023
2021-02-09,177876.0613732492
2021-02-10,177922.15386058122
2021-02-11,177968.2582917205
2021-02-12,178014.37466976198
2021-02-16,178060.5029978014
2021-02-17,178106.64327893537
2021-02-18,178152.79551626122
2021-02-19,178198.95971287714
2021-02-22,178245.1358718821
2021-02-23,178291.3239963759
2021-02-24,178337.5240894591
2021-02-25,178383.73615423308
2021-02-26,178429.96019380004
2021-03-01,178476.19621126296
2021-03-02,178522.44420972563
2021-03-03,178568.70419229267
2021-03-04,178614.97616206948
2021-03-05,178661.26012216226
2021-03-08,178707.55607567803
2021-03-09,178753.86402572462
2021-03-10,178800.18397541065
2021-03-11,178846.51592784555
2021-03-12,178892.85988613954
2021-03-15,178939.2158534037
2021-03-16,178985.58383274983
2021-03-17,179031.96382729063
2021-03-18,179078.35584013953
2021-03-19,179124.7598744108
2021-03-22,179171.17593321955
