Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ,HEDGE_USD,SCORE
2008-02-08,208404.2221680674,193040.0510704969,211183.40712972984,0.0,0.35,0
2008-02-11,208482.87055102192,195202.58876944042,211238.13044911702,0.0,0.35,0
2008-02-12,208463.19062132947,193914.91269732732,211292.8679487929,0.0,0.35,0
2008-02-13,208400.67435807333,197862.62869298607,211347.61963243203,0.0,0.35,1
2008-02-14,208461.03257341136,194316.1898754037,211402.3855037098,0.0,0.35,0
2008-02-15,208631.53752228513,193978.05044496144,211457.16556630263,0.0,0.35,1
2008-02-19,208740.1637704692,193784.11632095856,211511.95982388788,0.0,0.35,0
2008-02-20,208881.3934373981,194918.02276688267,211566.76828014382,0.0,0.35,1
2008-02-21,208959.48390870934,193133.74931727588,211621.59093874978,0.0,0.35,0
2008-02-22,208946.6701492667,193681.94937683572,211676.4278033859,0.0,0.35,1
2008-02-25,208984.7355579405,194630.34351953797,211731.27887773333,0.0,0.35,1
2008-02-26,208747.6902002938,194622.0410970618,211786.1441654743,0.0,0.35,1
2008-02-27,208584.72676410258,195028.4421951328,211841.02367029176,0.0,0.35,1
2008-02-28,208426.0574231636,193729.47990125636,211895.91739586982,0.0,0.35,1
2008-02-29,208855.8927183212,189578.7119884731,211950.82534589345,0.0,0.35,0
2008-03-03,208535.90255637583,187394.18847250674,212005.74752404858,0.0,0.35,0
2008-03-04,208888.5674629151,189234.32432629965,212060.68393402203,0.0,0.35,1
2008-03-05,208813.94013243544,189840.91780980825,212115.6345795018,0.0,0.35,1
2008-03-06,209864.86994702302,188205.13021112012,212170.59946417654,0.0,0.35,0
2008-03-07,209613.81190354834,186993.36559937082,212225.57859173615,0.0,0.35,0
2008-03-10,209969.40649574902,184160.77168067973,212280.57196587123,0.0,0.35,0
2008-03-11,209426.74009560593,189630.79619589366,212335.5795902735,0.0,0.35,0
2008-03-12,209527.59107447782,189234.90063628764,212390.60146863555,0.0,0.35,1
2008-03-13,209425.36335595528,190305.5065856615,212445.63760465107,0.0,0.35,0
2008-03-14,209626.62119874373,187202.05462240195,212500.68800201447,0.0,0.35,0
2008-03-17,209593.2204153617,183585.3850632225,212555.75266442136,0.0,0.35,0
2008-03-18,209122.9551446914,190417.60119005694,212610.83159556816,0.0,0.35,1
2008-03-19,209459.2711966448,186446.1145686279,212665.92479915224,0.0,0.35,0
2008-03-20,209474.80247450038,190171.3314304622,212721.032278872,0.0,0.35,1
2008-03-24,209299.32882251855,196146.64232316654,212776.15403842682,0.0,0.35,1
2008-03-25,209433.42566559612,197477.5453529372,212831.29008151693,0.0,0.35,1
2008-03-26,209498.93022083,196950.90896362977,212886.44041184362,0.0,0.35,1
2008-03-27,209515.08201826515,192504.22084447788,212941.60503310908,0.0,0.35,1
2008-03-28,209578.56107175082,191574.7092222554,212996.78394901648,0.0,0.35,1
2008-03-31,209239.26898314827,191570.09068980115,213051.9771632699,0.0,0.35,1
2008-04-01,209287.58913893587,199763.98747808835,213107.18467957454,0.0,0.35,1
2008-04-02,208864.0541450098,198042.08971909192,213162.40650163635,0.0,0.35,2
2008-04-03,208986.80300765275,198227.5673952918,213217.64263316235,0.09433369173403512,0.0,1
2008-04-04,209031.09987931277,199558.46614058653,213272.8930778606,0.0,0.0,1
2008-04-07,209085.26547781323,198878.15417302426,213328.15783943987,0.0,0.0,2
2008-04-08,208672.22048791926,197590.8666728087,213383.4369216102,0.09542831291887797,0.0,2
2008-04-09,208054.18876723244,195492.02415288426,213438.73032808234,0.09250615813927693,0.0,2
2008-04-10,208808.40870384028,197190.3257286538,213494.03806256814,0.09554973637156078,0.0,2
2008-04-11,207214.26252745822,191953.2990752263,213549.3601287804,0.08835542547044875,0.0,1
2008-04-14,207258.80308221045,189724.23525290954,213604.69653043285,0.0,0.0,2
2008-04-15,207397.32232493022,190188.04103840582,213660.04727124012,0.10230913400000495,0.0,2
2008-04-16,209209.92685738203,195478.4828851779,213715.41235491796,0.1098561688650531,0.0,2
2008-04-17,209121.55546431043,195256.44951569586,213770.79178518296,0.10924925069367378,0.0,2
2008-04-18,211357.71999477476,201602.1497613767,213826.18556575265,0.11844501749577327,0.0,3
2008-04-21,212669.3895494713,204107.82403822592,213881.59370034572,0.2356908228791841,0.0,3
2008-04-22,210241.8734040301,200179.04174578338,213937.01619268156,0.22666553845068374,0.0,3
2008-04-23,211743.26426728818,201990.23105361138,213992.4530464807,0.23194998773701858,0.0,3
2008-04-24,212936.0603898714,203191.40568584824,214047.90426546457,0.23605443770520546,0.0,3
2008-04-25,212726.131535903,203287.5253961591,214103.36985335557,0.2351023835064445,0.0,3
2008-04-28,213062.75780629888,203788.38226359585,214158.8498138771,0.23611298301660819,0.0,3
2008-04-29,214565.30074170284,206659.2315822908,214214.3441507535,0.24126572019306503,0.0,3
2008-04-30,212628.44896771898,204022.80767284214,214269.85286771,0.30485921175613984,0.0,3
2008-05-01,218778.61645822355,210461.91290734525,214325.37596847294,0.3242255083320725,0.0,3
2008-05-02,218847.06720112968,210031.09999537028,214380.91345676951,0.32426181969309675,0.0,3
2008-05-05,218392.31042111747,209863.02344474118,214436.465336328,0.322679268197648,0.0,3
2008-05-06,219875.36325807523,211653.42438277448,214492.03161087746,0.32707344829212837,0.0,3
2008-05-07,216265.27484404575,208733.8301773972,214547.61228414805,0.3156630877042289,0.0,3
2008-05-08,217998.0505086057,210860.4346196338,214603.2073598709,0.32092667602290037,0.0,3
2008-05-09,216959.36398533254,209347.40727853117,214658.81684177805,0.3174988239601168,0.0,3
2008-05-12,220294.69952744892,211854.05304449945,214714.44073360253,0.3276579435446896,0.0,3
